,balance
2,676.2279917410499
3,3528.284496825767
4,894.7208959792931
5,539.5783126073575
6,1271.8255730580308
7,2327.7255595351417
8,1247.6180644699357
9,4053.515487870062
10,635.819385075299
11,699.0882302777052
12,846.8036147429116
13,649.2312724319033
14,831.6443301228705
15,809.8091430832756
16,582.9815910419925
17,634.1745011095344
18,673.5046985462667
19,507.7274348666332
20,936.3526394168924
21,631.1997520509021
22,785.0641708871277
23,825.3148866999263
24,1016.5459140648168
25,530.9378302228316
26,959.9077032350484
27,651.6017614391982
28,936.1033205714256
29,859.5371906688783
30,904.1556351819706
31,1040.7555042639551
32,1054.0020013760618
33,718.5156647057015
34,955.1401021440944
35,1130.5176942447977
36,1034.4602740266062
37,878.1219823161227
38,1471.086218560099
39,1788.807574474125
40,1260.267208177352
41,1224.7608727624315
42,1673.7246860765515
43,1583.0595854943815
44,1917.1586698576064
45,1872.4526369460832
46,1976.4142537590392
47,2255.870859588601
48,2029.8444873524668
49,2026.9431254285705
50,1754.360815331744
51,1904.5313345440404
52,1969.7164143630248
53,1669.8330899231532
54,1537.5667221459164
55,1758.214825778282
56,1809.3068266432704
57,1210.7485559355018
58,1864.6188955483844
59,1711.5768956379763
60,1913.086748775613
61,2180.6545627076043
62,2187.103805629296
63,1581.50336632767
64,1729.01798416239
65,1856.9916060763508
66,1770.3228198579066
67,1886.893918566816
68,1745.63963475365
69,1780.040913070077
70,1627.1772952403376
71,2187.698973582543
72,1901.041329791832
73,2621.5649828450696
74,2068.423076326136
75,2134.89824333474
76,1923.487617826187
77,1628.449320254858
78,1886.0355051846925
79,1700.8398482905486
80,1667.249292446959
81,1515.7226151409095
82,1780.9622240187744
83,1677.9814670663677
84,1920.749608228641
85,1465.2740488854324
86,1695.900599088989
87,1464.5798843267
88,1430.7528979625208
89,1354.3974974583673
90,1556.368509008339
91,1443.093607859961
92,1456.9803490676522
93,1479.4045637546917
94,1806.7174690263755
95,1359.3604483110446
96,1433.0984730082046
97,1318.082338775438
98,1265.9918138135674
99,1300.292650918051
101,1196.0620661704716
102,1155.9180326673095
103,1320.6157510746264
104,1511.549587008617
105,1694.599052425881
106,1401.0826640474688
107,1438.1321132878925
108,1639.8629394058753
109,1594.9487683624736
110,1721.037989245007
111,1564.625693561027
112,1659.4218050840605
113,1823.5924922252289
114,1621.819921653026
115,1427.2772891173445
116,1442.3676840104442
117,1513.3622962509903
118,1644.2858089522138
119,1454.5809753650065
120,1357.1181279471657
121,1354.116971765568
122,1270.029840899846
123,1301.2205752328578
124,1390.409074538505
125,1367.2898706366336
126,1268.4351356796392
127,1178.91821561687
128,1416.87015172258
129,1480.1371143350125
130,1386.1031559817936
131,1454.7763663601872
132,1685.0628758334133
133,1621.7216449298892
134,1666.118525164221
135,1817.637180171642
136,1752.4784964938035
137,1815.5268993735087
138,1537.648876805766
139,1504.8649350896471
140,1608.85078959663
141,1244.0053131291927
142,1322.7564853014042
143,1370.5656795575646
144,1449.0369429010009
145,1159.2335887327
146,1284.3010297609037
147,1293.1200561074525
148,1380.1119424974197
149,1262.0829282953837
150,1543.8840369733048
151,1538.2885631601175
152,1569.6223737324503
153,1730.7960099876382
154,1710.0652327344123
155,1953.438331129501
156,2004.3235906951647
157,1657.7867318123942
158,1681.4490433824076
159,1612.1749331250185
160,1655.774831962045
161,1731.6912307488756
162,1573.0248989266202
163,1718.509790866393
164,1625.589653795936
165,1532.6371182487587
166,1477.4500151063623
167,1499.9613451825155
168,1621.8947630286098
169,1730.428019532694
170,1501.6989066382234
171,1679.2967417708069
172,1902.2299057544924
173,2043.63049775862
174,2070.172838448368
175,2103.4167036725016
176,1849.54414443086
177,1790.369204618779
178,1759.2798028414293
179,1750.635990270221
180,1771.5238995174525
181,1974.5893358497945
182,1983.589267693617
183,1981.1989136924185
184,1942.4283657382225
185,1928.451980476684
186,1867.2517474955064
187,1835.7338193277408
188,1789.6715159853445
189,1899.024269142299
190,1848.79502485514
191,1933.244076415563
192,2039.786350227352
193,1969.908612094337
194,2069.392152522725
195,2298.4311437851097
196,1926.7387253356287
197,2204.592657014253
198,2100.176997993678
199,2069.775257316533
201,2148.130190545315
202,2584.312367369239
203,2375.659059465848
204,2236.7128409598054
205,2270.8625555010385
206,2179.0313355362923
207,2124.28743333381
208,1650.9700245069694
209,1998.4769909337288
210,2133.6634279862383
211,2035.3755713354053
212,2197.423105116831
213,2272.5601950902783
214,2273.5236101506744
215,2387.9007949948223
216,2560.6614510563413
217,2387.347147335414
218,2816.765003505197
219,2296.1534626805446
220,2177.781607816816
221,2393.309748808834
222,2277.437349647376
223,2132.3719461684805
224,2636.2766603342825
225,2616.8412877022843
226,2603.9303021688493
227,2515.929140087126
228,2629.2310686569176
229,2154.2859494584263
230,2540.929148216286
231,2281.206689723929
232,2564.1149736269854
233,2516.726151998325
234,2683.266601957549
235,2968.670885122154
236,2809.6472007015013
237,2387.133352132895
238,2499.950598516424
239,2583.9823058172133
240,2406.9604707408125
241,2486.768454135381
242,2801.673109035546
243,2876.4112576504217
244,2399.505523213847
245,2296.9183203915723
246,2362.514516014926
247,2234.0539504332337
248,2391.3431902584425
249,2445.688034119177
250,2268.5677775468657
251,2024.0659352957373
252,2087.9865823544656
253,2194.1268590302643
254,2505.830524882153
255,2131.7748718363164
256,2301.700758612553
257,2205.751513093668
258,2463.990775018736
259,3578.690790113622
260,2520.5468009576784
261,2972.638927803622
262,2953.274822625578
263,3044.540844750617
264,3167.346683278405
265,2962.4822876649
266,3055.915164493351
267,3380.362174316244
268,3254.3620913386885
269,2854.6730867151505
270,2978.775794033508
271,2961.667493160563
272,3136.314885263896
273,3092.969546304756
274,2827.9069507273407
275,3249.574464174966
276,2910.384338049898
277,2627.1075341360934
278,2989.768970405046
279,2912.9512509782894
280,2628.507954712148
281,2635.0649607770792
282,2680.435896839102
283,2905.112911661573
284,2493.3800930233383
285,2800.210948921111
286,2709.542072302212
287,2651.23394444351
288,2615.8230033915324
289,2306.003651921509
290,2757.6110142830844
291,2758.692620808715
292,2627.208825084545
293,2649.685444143316
294,2829.596139729026
295,2923.958645331428
296,2999.494781450361
297,2939.0252013973286
298,2998.549586891528
299,3137.7806152312974
301,3168.6567431854824
302,2894.169893059081
303,2570.2113977002755
304,2885.599966901412
305,3190.744610228985
306,3141.349895043991
307,2760.3970419802617
308,2871.7666282621194
309,2509.0322569760674
310,2483.933001523092
311,2589.736742528987
312,2668.360335827735
313,2751.8255151036365
314,2841.580663125741
315,2793.60041496587
316,2796.3684513456847
317,2476.913808322274
318,2378.139544614739
319,2520.585141290775
320,2785.182114718488
321,2461.216631668329
322,2611.892898716231
323,2330.514422313725
324,2331.490269012505
325,2326.213712082985
326,2528.424531643542
327,2649.771988683132
328,2783.200577252728
329,2884.9901799686486
330,2794.1214202718
331,2756.101793858001
332,2727.4622545346924
333,2900.9918365341755
334,2973.311943692758
335,2809.3943552566006
336,2894.4343559206127
337,2673.829645638295
338,2876.6941312030485
339,2898.3142548428204
340,2843.1145501026967
341,2634.763261493016
342,2453.875962416795
343,2807.7028313717738
344,2569.839299142007
345,2607.131208279283
346,2406.2072968621
347,2307.3956780686985
348,2237.182625633018
349,2034.883183019604
350,2279.3588002984075
351,2345.9242944029074
352,2351.797849258028
353,2430.200018440831
354,2328.39824669087
355,2515.4736896015534
356,2665.1286336509834
357,2602.17108116491
358,2487.3923264022483
359,2574.7105203258766
360,2389.3066645932213
361,2153.108647886384
362,2663.6542889107222
363,2347.518949978149
364,2515.752471493769
365,2415.3072767115887
366,2610.86307502824
367,2675.264826510742
368,2505.188067732136
369,2423.958122876661
370,2500.050947266712
371,2139.7585542607285
372,3148.993383190288
373,2182.525005773031
374,2429.567561145029
375,2357.851146422824
376,2343.8756661065527
377,2546.921738851062
378,2636.150914830924
379,2581.0166386323976
380,2737.571219211379
381,2475.411249431248
382,2423.2388938139475
383,2387.7954774031914
384,2570.947363440744
385,2458.696953755783
386,2175.8741258684486
387,2230.577193808233
388,2173.1046391803843
389,2308.747705462765
390,2255.366823422384
391,2151.768997275637
392,1977.219902152828
393,2207.026124535928
394,2161.2455821720127
395,2178.5393874031006
396,2275.517414261373
397,2386.209386843794
398,2388.2277461173544
399,2434.95521884808
