Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.14996,331.91486,96.39564,190.89966,136.53845,201.72575,437.1882,177.0359,218.35025,216.17941,250.05304,234.298,44.598713,47.05391,207.3786,70.82046,227.55136,131.16345,348.72592,78.54592,26.416235,109.73236,196.39417,38.285915,121.77616,422.31735,20.105917,25.46648,39.676834,32.415913,15.57475,70.819626,52.505913,39.768127,54.20413,36.629547,65.636314,29.090147,73.158455,167.01631,138.8922,21.145916,111.195984,5.7829156,16.923344,76.77522,47.425915,14.306432,5.0929155,95.71306,947.3459,53.859524,59.59924,8.704915,51.352875,56.665928,14.140916,9.795916,561.06335,218.9763,82.456795,5.7459154,215.86137,51.412605,109.36749,41.71816,527.06757,61.455914,21.569654,167.15779,31.28764,114.8084,71.695915,25.299124,49.812946,154.46245,80.90319,27.195917,96.555916,96.06288,580.21515,741.8597,266.48004,267.39166,45.935913,91.834915,87.00496,88.89973,44.07737,128.21236,223.18864,80.79026,74.29275,154.17023,187.12444,114.34507
2024-08-27,194.14998,331.91486,96.395645,190.89967,136.53847,201.72577,437.1882,177.03592,218.35027,216.17943,250.05305,234.29802,44.59872,47.053917,207.37862,70.820465,227.55138,131.16347,348.72592,78.54593,26.416245,109.73237,196.39418,38.285923,121.77617,422.31735,20.105927,25.46649,39.67684,32.41592,15.5747595,70.81963,52.50592,39.768135,54.204136,36.629555,65.63632,29.090157,73.15846,167.01633,138.89221,21.145926,111.19599,5.782925,16.923353,76.77523,47.425922,14.306441,5.092925,95.713066,947.3459,53.85953,59.599247,8.704925,51.352882,56.665936,14.140925,9.795925,561.06335,218.97632,82.4568,5.745925,215.86139,51.412613,109.3675,41.718166,527.06757,61.45592,21.569664,167.1578,31.28765,114.80841,71.69592,25.299133,49.812954,154.46246,80.9032,27.195927,96.55592,96.06289,580.21515,741.8597,266.48004,267.39166,45.93592,91.83492,87.00497,88.899734,44.077377,128.21237,223.18866,80.79027,74.292755,154.17024,187.12445,114.34508
2024-08-28,194.14998,331.91077,96.395645,190.89967,136.53847,201.72577,437.1841,177.03592,218.35027,216.17943,250.05305,234.29802,44.59872,47.053917,207.37862,70.820465,227.55138,131.16347,348.72183,78.54593,26.416245,109.73237,196.39418,38.285923,121.77617,422.31326,20.105927,25.46649,39.67684,32.41592,15.5747595,70.81963,52.50592,39.768135,54.204136,36.629555,65.63632,29.090157,73.15846,167.01633,138.89221,21.145926,111.19599,5.782925,16.923353,76.77523,47.425922,14.306441,5.092925,95.713066,947.3418,53.85953,59.599247,8.704925,51.352882,56.665936,14.140925,9.795925,561.05927,218.97632,82.4568,5.745925,215.86139,51.412613,109.3675,41.718166,527.0635,61.45592,21.569664,167.1578,31.28765,114.80841,71.69592,25.299133,49.812954,154.46246,80.9032,27.195927,96.55592,96.06289,580.21106,741.8556,266.47595,267.38757,45.93592,91.83492,87.00497,88.899734,44.077377,128.21237,223.18866,80.79027,74.292755,154.17024,187.12445,114.34508
2024-08-29,194.14589,331.91077,96.39156,190.89558,136.53438,201.72168,437.1841,177.03183,218.34618,216.17534,250.04897,234.29393,44.594635,47.04983,207.37453,70.81638,227.54729,131.15938,348.72183,78.54185,26.41216,109.72829,196.39009,38.281837,121.77209,422.31326,20.101843,25.462406,39.672756,32.411835,15.570675,70.81555,52.501835,39.76405,54.20005,36.62547,65.63224,29.086073,73.15438,167.01224,138.88812,21.141842,111.19191,5.7788405,16.91927,76.77115,47.421837,14.302357,5.0888405,95.708984,947.3418,53.855446,59.59516,8.70084,51.348797,56.66185,14.136841,9.791841,561.05927,218.97223,82.45272,5.7418404,215.8573,51.408527,109.36342,41.71408,527.0635,61.451836,21.56558,167.15372,31.283566,114.80433,71.69184,25.29505,49.80887,154.45837,80.89912,27.191843,96.55184,96.05881,580.21106,741.8556,266.47595,267.38757,45.931835,91.83084,87.000885,88.89565,44.07329,128.20828,223.18457,80.78619,74.28867,154.16615,187.12036,114.340996
2024-08-30,194.1459,331.90668,96.39157,190.8956,136.5344,201.7217,437.18002,177.03185,218.34619,216.17535,250.04898,234.29395,44.594643,47.04984,207.37454,70.81639,227.5473,131.1594,348.71774,78.541855,26.41217,109.728294,196.3901,38.281845,121.772095,422.30917,20.101852,25.462416,39.672764,32.411842,15.570684,70.81556,52.501842,39.764057,54.200058,36.625477,65.63225,29.086082,73.15439,167.01225,138.88814,21.141851,111.19192,5.77885,16.91928,76.77116,47.421844,14.302366,5.08885,95.70899,947.3377,53.855453,59.59517,8.70085,51.348804,56.661858,14.13685,9.79185,561.0552,218.97224,82.45273,5.74185,215.85732,51.408535,109.36343,41.71409,527.0594,61.451843,21.56559,167.15373,31.283575,114.80434,71.69185,25.29506,49.808876,154.45839,80.899124,27.191853,96.55185,96.058815,580.207,741.8515,266.47186,267.38348,45.931843,91.83085,87.00089,88.89566,44.0733,128.2083,223.18459,80.786194,74.28868,154.16617,187.12038,114.341
2024-08-31,194.1459,331.90668,96.39157,190.8956,136.5344,201.7217,437.18002,177.03185,218.34619,216.17535,250.04898,234.29395,44.594643,47.04984,207.37454,70.81639,227.5473,131.1594,348.71774,78.541855,26.41217,109.728294,196.3901,38.281845,121.772095,422.30917,20.101852,25.462416,39.672764,32.411842,15.570684,70.81556,52.501842,39.764057,54.200058,36.625477,65.63225,29.086082,73.15439,167.01225,138.88814,21.141851,111.19192,5.77885,16.91928,76.77116,47.421844,14.302366,5.08885,95.70899,947.3377,53.855453,59.59517,8.70085,51.348804,56.661858,14.13685,9.79185,561.0552,218.97224,82.45273,5.74185,215.85732,51.408535,109.36343,41.71409,527.0594,61.451843,21.56559,167.15373,31.283575,114.80434,71.69185,25.29506,49.808876,154.45839,80.899124,27.191853,96.55185,96.058815,580.207,741.8515,266.47186,267.38348,45.931843,91.83085,87.00089,88.89566,44.0733,128.2083,223.18459,80.786194,74.28868,154.16617,187.12038,114.341
2024-09-01,194.14182,331.9026,96.38749,190.89151,136.5303,201.7176,437.17593,177.02776,218.3421,216.17126,250.04489,234.28986,44.590557,47.045753,207.37045,70.81231,227.54321,131.1553,348.71365,78.53777,26.408087,109.72421,196.38602,38.27776,121.76801,422.30508,20.097769,25.458332,39.66868,32.407757,15.5666,70.81148,52.497757,39.75997,54.195972,36.62139,65.62817,29.081999,73.15031,167.00816,138.88405,21.137768,111.187836,5.7747655,16.915195,76.767075,47.41776,14.298282,5.0847654,95.70491,947.3336,53.851368,59.591084,8.696765,51.34472,56.657772,14.132766,9.7877655,561.0511,218.96815,82.44865,5.7377653,215.85323,51.40445,109.359344,41.710003,527.0553,61.447758,21.561506,167.14964,31.279491,114.800255,71.68777,25.290976,49.80479,154.4543,80.89504,27.187769,96.54777,96.05473,580.2029,741.8474,266.46777,267.3794,45.927757,91.82677,86.99681,88.89158,44.069214,128.20421,223.1805,80.78211,74.2846,154.16208,187.11629,114.33692
2024-09-02,194.14183,331.9026,96.3875,190.89153,136.53032,201.71762,437.17593,177.02777,218.34212,216.17128,250.0449,234.28987,44.590565,47.04576,207.37047,70.81232,227.54323,131.15532,348.71365,78.53778,26.408096,109.72422,196.38603,38.277767,121.76802,422.30508,20.097778,25.458342,39.668686,32.407764,15.566609,70.811485,52.497765,39.75998,54.19598,36.6214,65.628174,29.082008,73.150314,167.00818,138.88406,21.137777,111.18784,5.774775,16.915205,76.76708,47.417767,14.298291,5.084775,95.70492,947.3336,53.851376,59.59109,8.6967745,51.344727,56.65778,14.132775,9.787775,561.0511,218.96817,82.448654,5.737775,215.85324,51.404457,109.35935,41.71001,527.0553,61.447765,21.561516,167.14966,31.279501,114.80026,71.687775,25.290985,49.8048,154.45432,80.89505,27.187778,96.547775,96.05474,580.2029,741.8474,266.46777,267.3794,45.927765,91.826775,86.99682,88.89159,44.06922,128.20422,223.18051,80.78212,74.28461,154.1621,187.1163,114.33693
2024-09-03,194.14183,331.8985,96.3875,190.89153,136.53032,201.71762,437.17184,177.02777,218.34212,216.17128,250.0449,234.28987,44.590565,47.04576,207.37047,70.81232,227.54323,131.15532,348.70956,78.53778,26.408096,109.72422,196.38603,38.277767,121.76802,422.301,20.097778,25.458342,39.668686,32.407764,15.566609,70.811485,52.497765,39.75998,54.19598,36.6214,65.628174,29.082008,73.150314,167.00818,138.88406,21.137777,111.18784,5.774775,16.915205,76.76708,47.417767,14.298291,5.084775,95.70492,947.3295,53.851376,59.59109,8.6967745,51.344727,56.65778,14.132775,9.787775,561.047,218.96817,82.448654,5.737775,215.85324,51.404457,109.35935,41.71001,527.0512,61.447765,21.561516,167.14966,31.279501,114.80026,71.687775,25.290985,49.8048,154.45432,80.89505,27.187778,96.547775,96.05474,580.1988,741.8433,266.46368,267.3753,45.927765,91.826775,86.99682,88.89159,44.06922,128.20422,223.18051,80.78212,74.28461,154.1621,187.1163,114.33693
2024-09-04,194.13774,331.8985,96.383415,190.88744,136.52623,201.71353,437.17184,177.02368,218.33803,216.16719,250.04082,234.28578,44.58648,47.041676,207.36638,70.808235,227.53914,131.15123,348.70956,78.5337,26.404013,109.72014,196.38194,38.27368,121.76394,422.301,20.093695,25.454258,39.6646,32.40368,15.562525,70.8074,52.49368,39.755894,54.191895,36.617313,65.62409,29.077925,73.14623,167.00409,138.87997,21.133694,111.18376,5.7706904,16.911121,76.763,47.41368,14.294207,5.0806904,95.700836,947.3295,53.84729,59.587006,8.69269,51.34064,56.653694,14.128691,9.78369,561.047,218.96408,82.44457,5.7336903,215.84915,51.40037,109.35527,41.705925,527.0512,61.44368,21.557432,167.14557,31.275417,114.79618,71.68369,25.286901,49.800713,154.45023,80.89097,27.183695,96.54369,96.05066,580.1988,741.8433,266.46368,267.3753,45.92368,91.82269,86.99274,88.887505,44.065136,128.20013,223.17642,80.77804,74.280525,154.158,187.11221,114.33285
