Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.15854,331.92343,96.404205,190.90823,136.54703,201.73433,437.19678,177.04448,218.35883,216.18799,250.06161,234.30658,44.60729,47.062485,207.38718,70.829025,227.55994,131.17203,348.7345,78.55449,26.424807,109.74093,196.40274,38.29449,121.78473,422.32593,20.114489,25.475052,39.68541,32.424488,15.583323,70.82819,52.51449,39.776703,54.212704,36.638123,65.64488,29.098719,73.16702,167.02489,138.90077,21.154488,111.20455,5.791488,16.931915,76.78379,47.43449,14.315004,5.101488,95.72163,947.3545,53.8681,59.607815,8.713488,51.36145,56.674503,14.149488,9.804488,561.07196,218.98488,82.46536,5.754488,215.86995,51.42118,109.37606,41.726734,527.0762,61.46449,21.578226,167.16637,31.296211,114.81697,71.70448,25.307695,49.82152,154.47102,80.91176,27.204489,96.56448,96.07145,580.22375,741.8683,266.48862,267.40024,45.94449,91.84348,87.01353,88.908295,44.085945,128.22093,223.19722,80.79883,74.301315,154.1788,187.13301,114.35364
2024-08-27,194.15866,331.92358,96.40433,190.90836,136.54715,201.73445,437.1969,177.0446,218.35895,216.18811,250.06174,234.3067,44.60741,47.06261,207.3873,70.82915,227.56006,131.17215,348.73462,78.55461,26.42493,109.74105,196.40286,38.294613,121.78485,422.32605,20.114613,25.475178,39.685535,32.42461,15.5834465,70.828316,52.514614,39.77683,54.212826,36.63825,65.645004,29.098843,73.167145,167.02501,138.9009,21.154613,111.20467,5.7916126,16.932041,76.78391,47.434612,14.315128,5.1016126,95.72175,947.3546,53.86822,59.607937,8.713612,51.361576,56.674625,14.149612,9.804612,561.0721,218.985,82.465485,5.7546124,215.87007,51.421307,109.37618,41.726856,527.0763,61.46461,21.57835,167.16649,31.296337,114.81709,71.704605,25.30782,49.821644,154.47115,80.91188,27.204613,96.564606,96.07157,580.2239,741.8684,266.48877,267.4004,45.944614,91.843605,87.01365,88.90842,44.08607,128.22105,223.19734,80.79895,74.30144,154.17892,187.13313,114.35376
2024-08-28,194.15866,331.9236,96.404335,190.90836,136.54715,201.73445,437.1969,177.0446,218.35895,216.18811,250.06174,234.3067,44.607414,47.062614,207.3873,70.829155,227.56006,131.17215,348.73462,78.55462,26.424936,109.74106,196.40286,38.294617,121.78486,422.32605,20.114618,25.475182,39.68554,32.424614,15.583451,70.82832,52.514618,39.776833,54.21283,36.638252,65.64501,29.098848,73.16715,167.02501,138.9009,21.154617,111.20468,5.7916174,16.932045,76.78392,47.434616,14.315133,5.101617,95.721756,947.3546,53.868225,59.60794,8.713616,51.36158,56.67463,14.149617,9.804617,561.0721,218.985,82.46549,5.7546167,215.87007,51.42131,109.37619,41.72686,527.0763,61.464615,21.578356,167.16649,31.29634,114.8171,71.70461,25.307825,49.821648,154.47115,80.91189,27.204618,96.56461,96.07158,580.2239,741.8684,266.4888,267.40042,45.94462,91.84361,87.01366,88.908424,44.086075,128.22105,223.19734,80.79896,74.301445,154.17892,187.13313,114.35377
2024-08-29,194.16315,331.92358,96.40433,190.91284,136.55164,201.73894,437.2014,177.04909,218.36343,216.1926,250.06622,234.31119,44.607418,47.06262,207.39178,70.82915,227.56454,131.17664,348.7391,78.55461,26.424938,109.741066,196.40735,38.29462,121.78485,422.33054,20.11462,25.475182,39.685543,32.424618,15.583451,70.82833,52.51462,39.776836,54.212833,36.638256,65.645004,29.09885,73.167145,167.0295,138.90538,21.154617,111.20469,5.7916183,16.932045,76.78393,47.43462,14.315133,5.1016183,95.72176,947.35913,53.86823,59.607944,8.713616,51.361584,56.674633,14.149617,9.804619,561.0766,218.98949,82.465485,5.754618,215.87456,51.421314,109.3762,41.726864,527.0808,61.46462,21.578358,167.17097,31.29634,114.81709,71.704605,25.307827,49.82165,154.47563,80.91188,27.20462,96.564606,96.07159,580.2284,741.8729,266.48877,267.4004,45.944622,91.84362,87.013664,88.90842,44.08608,128.22554,223.20183,80.79895,74.30144,154.18341,187.13762,114.35376
2024-08-30,194.16327,331.92355,96.40432,190.91296,136.55176,201.73906,437.20154,177.04921,218.36356,216.19272,250.06635,234.31131,44.607414,47.062614,207.3919,70.82914,227.56467,131.17676,348.73926,78.5546,26.42494,109.74106,196.40747,38.294617,121.78484,422.3307,20.114622,25.47967,39.68554,32.424614,15.587939,70.82832,52.514618,39.776833,54.21283,36.638252,65.645,29.098852,73.16714,167.02962,138.9055,21.159105,111.20468,5.7916183,16.936533,76.78392,47.434616,14.319621,5.101619,95.721756,947.35925,53.868225,59.60794,8.718104,51.36158,56.67463,14.154105,9.804619,561.0767,218.98961,82.46548,5.7546186,215.87468,51.42131,109.37619,41.72686,527.08093,61.464615,21.57836,167.1711,31.300829,114.817085,71.7046,25.307829,49.821648,154.47575,80.91187,27.204622,96.5646,96.07158,580.2285,741.87305,266.48874,267.40036,45.94462,91.84361,87.01366,88.90841,44.086075,128.22566,223.20195,80.79894,74.30143,154.18353,187.13774,114.35375
2024-08-31,194.16327,331.92355,96.40432,190.91296,136.55176,201.73906,437.20157,177.04921,218.36356,216.19272,250.06635,234.31131,44.60741,47.06261,207.3919,70.82914,227.56467,131.17676,348.7393,78.5546,26.42494,109.74105,196.40747,38.294613,121.78484,422.33072,20.114622,25.479794,39.685535,32.42461,15.588063,70.828316,52.514614,39.77683,54.212826,36.63825,65.645,29.098852,73.16714,167.02962,138.9055,21.15923,111.20467,5.7961063,16.936657,76.78391,47.434612,14.319745,5.1016192,95.72175,947.35925,53.86822,59.607937,8.718228,51.361576,56.674625,14.154229,9.809107,561.0767,218.98961,82.46548,5.754619,215.87468,51.421307,109.37618,41.726856,527.08093,61.46461,21.57836,167.1711,31.300953,114.817085,71.7046,25.307829,49.821644,154.47575,80.91187,27.204622,96.5646,96.07157,580.2285,741.87305,266.48874,267.40036,45.944614,91.843605,87.01365,88.90841,44.08607,128.22566,223.20195,80.79894,74.30143,154.18353,187.13774,114.35375
2024-09-01,194.16776,331.92804,96.408806,190.91745,136.55624,201.74355,437.20154,177.0537,218.36804,216.1972,250.07083,234.3158,44.60741,47.06261,207.3964,70.833626,227.56915,131.18124,348.73926,78.55909,26.429428,109.74105,196.41196,38.294613,121.78933,422.3307,20.11911,25.4798,39.685535,32.42461,15.588068,70.828316,52.514614,39.77683,54.212826,36.63825,65.64948,29.10334,73.17162,167.0341,138.90999,21.159235,111.20467,5.796231,16.936663,76.78391,47.434612,14.31975,5.101619,95.72175,947.3638,53.86822,59.607937,8.718233,51.361576,56.674625,14.154234,9.809231,561.08124,218.9941,82.46996,5.7546186,215.87917,51.421307,109.37618,41.726856,527.08545,61.46461,21.582848,167.17558,31.300959,114.82157,71.70908,25.312317,49.821644,154.48024,80.91636,27.20911,96.569084,96.07157,580.23303,741.87756,266.49323,267.40485,45.944614,91.843605,87.01365,88.912895,44.08607,128.23015,223.20644,80.80343,74.305916,154.18802,187.14223,114.35824
2024-09-02,194.16788,331.92816,96.40893,190.91757,136.55637,201.74367,437.2015,177.05382,218.36816,216.19733,250.07095,234.31592,44.6119,47.0671,207.39651,70.83375,227.56927,131.18137,348.73923,78.55921,26.429554,109.74554,196.41208,38.299103,121.78945,422.33066,20.119236,25.479801,39.690025,32.4291,15.58807,70.8328,52.519104,39.78132,54.217316,36.64274,65.649605,29.103466,73.171745,167.03423,138.91011,21.159237,111.20916,5.796235,16.936665,76.7884,47.439102,14.319752,5.1016183,95.726234,947.3639,53.87271,59.612427,8.718235,51.366066,56.679115,14.154236,9.809236,561.08136,218.99422,82.470085,5.754618,215.87929,51.425797,109.38067,41.731346,527.0856,61.4691,21.582973,167.1757,31.30096,114.82169,71.709206,25.312443,49.826134,154.48036,80.91648,27.209236,96.56921,96.07606,580.23315,741.8777,266.49335,267.40497,45.949104,91.84809,87.018135,88.91302,44.09056,128.23027,223.20656,80.80355,74.30604,154.18814,187.14235,114.35836
2024-09-03,194.16788,331.92816,96.408936,190.91757,136.55637,201.74367,437.2015,177.05382,218.36816,216.19733,250.07095,234.31592,44.612026,47.067226,207.39651,70.833755,227.56927,131.18137,348.73923,78.55922,26.429558,109.74566,196.41208,38.29923,121.78946,422.33066,20.11924,25.479803,39.69015,32.429226,15.58807,70.832924,52.51923,39.781445,54.21744,36.642864,65.64961,29.10347,73.17175,167.03423,138.91011,21.159239,111.20928,5.7962365,16.936666,76.78852,47.439228,14.319752,5.101619,95.72636,947.3639,53.872837,59.612553,8.718235,51.36619,56.67924,14.154236,9.809236,561.08136,218.99422,82.47009,5.7546186,215.87929,51.425922,109.38079,41.731472,527.0856,61.469227,21.582977,167.1757,31.300962,114.8217,71.70921,25.312447,49.82626,154.48036,80.91649,27.20924,96.569214,96.07618,580.23315,741.8777,266.49335,267.40497,45.94923,91.84821,87.01826,88.913025,44.090687,128.23027,223.20656,80.80356,74.306046,154.18814,187.14235,114.35837
2024-09-04,194.17236,331.93265,96.40894,190.92206,136.56085,201.74815,437.206,177.0583,218.37265,216.20181,250.07544,234.3204,44.61203,47.06723,207.401,70.83376,227.57376,131.18585,348.7437,78.55923,26.429558,109.74567,196.41656,38.299232,121.78947,422.33514,20.11924,25.479803,39.690155,32.42923,15.592558,70.83293,52.519234,39.78145,54.217445,36.642868,65.64962,29.10347,73.17176,167.03871,138.9146,21.159239,111.20929,5.796237,16.936666,76.78853,47.43923,14.32424,5.1016192,95.726364,947.3684,53.87284,59.612556,8.722723,51.366196,56.679245,14.158724,9.813724,561.0859,218.9987,82.4701,5.754619,215.88377,51.425926,109.3808,41.731476,527.0901,61.46923,21.582977,167.18019,31.300962,114.82171,71.70922,25.312447,49.826263,154.48485,80.9165,27.20924,96.56922,96.07619,580.2377,741.8822,266.49783,267.40945,45.949234,91.84822,87.018265,88.91303,44.09069,128.23476,223.21104,80.803566,74.30605,154.19263,187.14684,114.358376
