Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.15631,331.9212,96.401985,190.906,136.5448,201.7321,437.19455,177.04225,218.3566,216.18576,250.05939,234.30435,44.60506,47.060257,207.38495,70.826805,227.55771,131.1698,348.73227,78.55227,26.422583,109.73871,196.40051,38.292263,121.78251,422.3237,20.112265,25.472828,39.68318,32.42226,15.581098,70.82597,52.51226,39.774475,54.210476,36.635895,65.64266,29.096495,73.1648,167.02266,138.89854,21.152264,111.20233,5.7892637,16.929691,76.78157,47.432262,14.312779,5.0992637,95.719406,947.35223,53.86587,59.605587,8.711263,51.359222,56.672276,14.147264,9.802263,561.0697,218.98265,82.46314,5.7522635,215.86772,51.418953,109.37384,41.724506,527.0739,61.46226,21.576002,167.16414,31.293987,114.81475,71.70226,25.305471,49.819294,154.4688,80.90954,27.202265,96.56226,96.06923,580.2215,741.866,266.4864,267.398,45.94226,91.84126,87.01131,88.906075,44.083717,128.2187,223.19499,80.79661,74.299095,154.17657,187.13078,114.35142
2024-08-27,194.15857,331.92346,96.40425,190.90826,136.54706,201.73436,437.1968,177.04451,218.35886,216.18802,250.06165,234.30661,44.607323,47.06252,207.3872,70.82907,227.55997,131.17206,348.73453,78.554535,26.424847,109.740974,196.40277,38.294525,121.784775,422.32596,20.114529,25.475092,39.685444,32.424522,15.583361,70.82824,52.514523,39.776737,54.212738,36.638157,65.64493,29.098759,73.16707,167.02492,138.9008,21.154528,111.2046,5.7915273,16.931955,76.78384,47.434525,14.3150425,5.101527,95.72167,947.3545,53.868134,59.60785,8.713526,51.361485,56.674538,14.149527,9.804526,561.07196,218.98491,82.46541,5.754527,215.86998,51.421215,109.37611,41.72677,527.0762,61.464523,21.578266,167.1664,31.296251,114.81702,71.70453,25.307735,49.821556,154.47105,80.911804,27.204529,96.56453,96.071495,580.22375,741.8683,266.48865,267.40027,45.944523,91.84353,87.01357,88.90834,44.08598,128.22096,223.19725,80.798874,74.30136,154.17883,187.13304,114.35368
2024-08-28,194.16083,331.92572,96.40652,190.91052,136.54932,201.73662,437.19907,177.04677,218.36111,216.19028,250.0639,234.30887,44.609585,47.06478,207.38947,70.83134,227.56223,131.17432,348.7368,78.5568,26.42711,109.74324,196.40503,38.296787,121.78704,422.32822,20.116793,25.477356,39.687706,32.426785,15.585624,70.830505,52.516785,39.779,54.215,36.64042,65.647194,29.101023,73.169334,167.02718,138.90306,21.156792,111.20686,5.793791,16.93422,76.7861,47.436787,14.317306,5.1037908,95.72394,947.35675,53.870396,59.61011,8.715789,51.363747,56.6768,14.15179,9.806789,561.0742,218.98717,82.467674,5.7567906,215.87224,51.423477,109.37837,41.72903,527.0784,61.466785,21.58053,167.16866,31.298515,114.81928,71.706795,25.31,49.82382,154.47331,80.91407,27.206793,96.566795,96.07376,580.226,741.87054,266.4909,267.40253,45.946785,91.845795,87.01584,88.91061,44.08824,128.22322,223.19951,80.80114,74.30363,154.18109,187.1353,114.35595
2024-08-29,194.16309,331.92798,96.40878,190.91278,136.55157,201.73888,437.20132,177.04903,218.36337,216.19254,250.06616,234.31113,44.611847,47.067043,207.39172,70.8336,227.56448,131.17657,348.73904,78.55907,26.429375,109.74551,196.40729,38.29905,121.78931,422.33047,20.119057,25.47962,39.68997,32.429047,15.587887,70.83277,52.519047,39.78126,54.217262,36.64268,65.64946,29.103287,73.1716,167.02943,138.90532,21.159056,111.20913,5.7960544,16.936483,76.78837,47.43905,14.319569,5.1060543,95.726204,947.359,53.872658,59.612373,8.718052,51.36601,56.67906,14.154053,9.809052,561.0765,218.98943,82.46994,5.759054,215.8745,51.42574,109.38064,41.731293,527.0807,61.469048,21.582794,167.17091,31.30078,114.82155,71.70906,25.312263,49.82608,154.47557,80.916336,27.209057,96.56906,96.07603,580.2283,741.8728,266.49316,267.4048,45.949047,91.84806,87.018105,88.91287,44.090504,128.22548,223.20177,80.803406,74.30589,154.18335,187.13756,114.358215
2024-08-30,194.16534,331.93024,96.41105,190.91504,136.55383,201.74113,437.20358,177.05128,218.36563,216.1948,250.06842,234.31339,44.61411,47.069305,207.39398,70.83587,227.56674,131.17883,348.7413,78.56133,26.431639,109.74777,196.40955,38.30131,121.79157,422.33273,20.12132,25.481884,39.69223,32.43131,15.59015,70.83504,52.52131,39.783524,54.219524,36.644943,65.651726,29.10555,73.17387,167.0317,138.90758,21.16132,111.211395,5.798318,16.938747,76.790634,47.44131,14.321832,5.108318,95.72847,947.36127,53.87492,59.614635,8.720315,51.36827,56.681324,14.156316,9.811316,561.07874,218.99168,82.472206,5.7613177,215.87675,51.428,109.382904,41.733555,527.08295,61.47131,21.585058,167.17317,31.303043,114.823814,71.71133,25.314528,49.828342,154.47783,80.9186,27.21132,96.57133,96.07829,580.2305,741.87506,266.49542,267.40704,45.95131,91.85033,87.02037,88.91514,44.092766,128.22774,223.20403,80.80567,74.30816,154.18561,187.13982,114.36048
2024-08-31,194.1676,331.9325,96.413315,190.9173,136.55609,201.7434,437.20584,177.05354,218.36789,216.19705,250.07068,234.31564,44.61637,47.071568,207.39624,70.838135,227.569,131.18109,348.74356,78.5636,26.433903,109.75004,196.4118,38.303574,121.79384,422.335,20.123585,25.484148,39.694492,32.43357,15.592413,70.8373,52.52357,39.785786,54.221786,36.647205,65.65399,29.107815,73.17613,167.03395,138.90984,21.163584,111.21366,5.8005815,16.941011,76.7929,47.443573,14.324095,5.1105814,95.730736,947.3635,53.877182,59.616898,8.722578,51.370533,56.683586,14.158579,9.813579,561.081,218.99394,82.47447,5.7635813,215.87901,51.430264,109.38517,41.735817,527.0852,61.47357,21.587322,167.17543,31.305307,114.82608,71.71359,25.316792,49.830605,154.48009,80.92087,27.213585,96.57359,96.08056,580.2328,741.8773,266.49768,267.4093,45.95357,91.85259,87.02264,88.917404,44.095028,128.23,223.20628,80.80794,74.310425,154.18787,187.14207,114.36275
2024-09-01,194.16986,331.93475,96.41558,190.91956,136.55835,201.74565,437.2081,177.0558,218.37015,216.19931,250.07294,234.3179,44.618633,47.07383,207.3985,70.8404,227.57126,131.18335,348.74582,78.565865,26.436167,109.752304,196.41406,38.305836,121.796104,422.33725,20.125849,25.486412,39.696754,32.435833,15.594676,70.83957,52.525833,39.788048,54.22405,36.649467,65.65626,29.110079,73.1784,167.03621,138.9121,21.165848,111.21593,5.802845,16.943275,76.795166,47.445835,14.326358,5.112845,95.733,947.3658,53.879444,59.61916,8.724841,51.372795,56.68585,14.160842,9.815842,561.08325,218.9962,82.47674,5.765845,215.88127,51.432526,109.387436,41.73808,527.08746,61.475834,21.589586,167.17769,31.307571,114.82835,71.71586,25.319056,49.832867,154.48235,80.923134,27.215849,96.57586,96.082825,580.23505,741.8796,266.49994,267.41156,45.955833,91.85486,87.0249,88.91967,44.09729,128.23225,223.20854,80.8102,74.31269,154.19012,187.14433,114.36501
2024-09-02,194.17212,331.937,96.41785,190.92181,136.56061,201.74791,437.21036,177.05806,218.3724,216.20157,250.0752,234.32016,44.620895,47.07609,207.40076,70.84267,227.57352,131.18561,348.74808,78.56813,26.43843,109.75457,196.41632,38.308098,121.79837,422.3395,20.128113,25.488676,39.699017,32.438095,15.596939,70.841835,52.528095,39.79031,54.22631,36.65173,65.65852,29.112343,73.180664,167.03847,138.91435,21.168112,111.21819,5.8051085,16.94554,76.79743,47.448097,14.328621,5.1151085,95.73527,947.36804,53.881706,59.62142,8.727104,51.375057,56.68811,14.163105,9.818105,561.0855,218.99846,82.479004,5.7681084,215.88353,51.434788,109.3897,41.74034,527.0897,61.478096,21.59185,167.17995,31.309835,114.83061,71.718124,25.32132,49.83513,154.4846,80.9254,27.218113,96.578125,96.08509,580.2373,741.88184,266.5022,267.41382,45.958096,91.857124,87.02717,88.921936,44.099552,128.23451,223.2108,80.81247,74.31496,154.19238,187.14659,114.36728
2024-09-03,194.17438,331.93927,96.42011,190.92407,136.56287,201.75017,437.21262,177.06032,218.37466,216.20383,250.07745,234.32242,44.623158,47.078354,207.40302,70.84493,227.57578,131.18787,348.75034,78.5704,26.440695,109.756836,196.41858,38.31036,121.80064,422.34177,20.130377,25.49094,39.70128,32.440357,15.599202,70.8441,52.530357,39.792572,54.228573,36.65399,65.66079,29.114607,73.18293,167.04073,138.91661,21.170376,111.22046,5.807372,16.947803,76.7997,47.45036,14.330884,5.117372,95.73753,947.3703,53.88397,59.623684,8.729367,51.37732,56.690372,14.165368,9.820368,561.08777,219.00072,82.48127,5.770372,215.88579,51.43705,109.39197,41.742603,527.092,61.48036,21.594114,167.1822,31.3121,114.83288,71.72039,25.323584,49.83739,154.48686,80.927666,27.220377,96.58039,96.08736,580.23956,741.8841,266.50446,267.41608,45.960358,91.85939,87.029434,88.9242,44.101814,128.23677,223.21306,80.814735,74.31722,154.19464,187.14885,114.369545
2024-09-04,194.17664,331.94153,96.42238,190.92633,136.56512,201.75243,437.21487,177.06258,218.37692,216.20609,250.07971,234.32468,44.62542,47.080616,207.40527,70.8472,227.57803,131.19012,348.7526,78.57266,26.442959,109.7591,196.42084,38.312622,121.8029,422.34402,20.13264,25.493204,39.70354,32.44262,15.601465,70.84637,52.53262,39.794834,54.230835,36.656254,65.663055,29.11687,73.185196,167.04298,138.91887,21.17264,111.222725,5.8096356,16.950068,76.80196,47.45262,14.333147,5.1196356,95.7398,947.37256,53.88623,59.625946,8.73163,51.37958,56.692635,14.167631,9.822631,561.09,219.00298,82.483536,5.7726355,215.88805,51.439312,109.39423,41.744865,527.09424,61.48262,21.596378,167.18446,31.314363,114.835144,71.72266,25.325848,49.839653,154.48912,80.92993,27.222641,96.58266,96.08962,580.2418,741.88635,266.5067,267.41833,45.96262,91.86166,87.0317,88.92647,44.104076,128.23903,223.21532,80.817,74.31949,154.1969,187.15111,114.37181
