Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.15396,331.91885,96.399635,190.90366,136.54245,201.72975,437.1922,177.0399,218.35425,216.18341,250.05704,234.302,44.602715,47.05791,207.3826,70.824455,227.55536,131.16745,348.72992,78.54992,26.420235,109.73636,196.39816,38.289917,121.78016,422.32135,20.109917,25.47048,39.680836,32.419914,15.57875,70.82362,52.509914,39.77213,54.20813,36.63355,65.64031,29.094147,73.16245,167.02031,138.8962,21.149916,111.19998,5.7869153,16.927343,76.77922,47.429916,14.3104315,5.0969152,95.71706,947.3499,53.863525,59.60324,8.708915,51.356876,56.66993,14.144916,9.799915,561.0674,218.9803,82.46079,5.749915,215.86537,51.416607,109.37149,41.72216,527.0716,61.459915,21.573654,167.16179,31.29164,114.8124,71.69991,25.303123,49.816948,154.46645,80.90719,27.199917,96.55991,96.06688,580.2192,741.8637,266.48404,267.39566,45.939915,91.83891,87.00896,88.903725,44.08137,128.21635,223.19264,80.79426,74.296745,154.17422,187.12843,114.34907
2024-08-27,194.15396,331.91885,96.399635,190.90366,136.54245,201.72975,437.1922,177.0399,218.35425,216.18341,250.05704,234.302,44.602715,47.05791,207.3826,70.824455,227.55536,131.16745,348.72992,78.54992,26.420235,109.73636,196.39816,38.289917,121.78016,422.32135,20.109917,25.47048,39.680836,32.419914,15.57875,70.82362,52.509914,39.77213,54.20813,36.63355,65.64031,29.094147,73.16245,167.02031,138.8962,21.149916,111.19998,5.786915,16.927343,76.77922,47.429916,14.3104315,5.096915,95.71706,947.3499,53.863525,59.60324,8.708915,51.356876,56.66993,14.144916,9.799915,561.0674,218.9803,82.46079,5.7499146,215.86537,51.416607,109.37149,41.72216,527.0716,61.459915,21.573654,167.16179,31.29164,114.8124,71.69991,25.303123,49.816948,154.46645,80.90719,27.199917,96.55991,96.06688,580.2192,741.8637,266.48404,267.39566,45.939915,91.83891,87.00896,88.903725,44.08137,128.21635,223.19264,80.79426,74.296745,154.17422,187.12843,114.34907
2024-08-28,194.15387,331.91876,96.39955,190.90356,136.54236,201.72966,437.1921,177.03981,218.35416,216.18332,250.05695,234.30191,44.60263,47.057827,207.3825,70.82437,227.55527,131.16736,348.72983,78.549835,26.42015,109.736275,196.39807,38.289833,121.780075,422.32126,20.109833,25.470396,39.68075,32.41983,15.578665,70.82354,52.50983,39.772045,54.208046,36.633465,65.64023,29.094063,73.16237,167.02022,138.8961,21.149832,111.1999,5.7869143,16.92726,76.77914,47.429832,14.310347,5.0969143,95.71697,947.34985,53.86344,59.603157,8.70883,51.356792,56.669846,14.144831,9.79983,561.0673,218.98021,82.46071,5.749914,215.86528,51.416523,109.37141,41.722076,527.07153,61.45983,21.57357,167.1617,31.291555,114.81232,71.69983,25.30304,49.816864,154.46635,80.907104,27.199833,96.55983,96.066795,580.2191,741.86365,266.48395,267.39557,45.93983,91.83883,87.00887,88.90364,44.081287,128.21626,223.19255,80.794174,74.29666,154.17413,187.12834,114.34898
2024-08-29,194.15387,331.91876,96.39955,190.90356,136.54236,201.72966,437.1921,177.03981,218.35416,216.18332,250.05695,234.30191,44.60263,47.057827,207.3825,70.82437,227.55527,131.16736,348.72983,78.549835,26.42015,109.736275,196.39807,38.289833,121.780075,422.32126,20.109833,25.470396,39.68075,32.41983,15.578665,70.82354,52.50983,39.772045,54.208046,36.633465,65.64023,29.094063,73.16237,167.02022,138.8961,21.149832,111.1999,5.786914,16.92726,76.77914,47.429832,14.310347,5.096914,95.71697,947.34985,53.86344,59.603157,8.70883,51.356792,56.669846,14.144831,9.79983,561.0673,218.98021,82.46071,5.7499137,215.86528,51.416523,109.37141,41.722076,527.07153,61.45983,21.57357,167.1617,31.291555,114.81232,71.69983,25.30304,49.816864,154.46635,80.907104,27.199833,96.55983,96.066795,580.2191,741.86365,266.48395,267.39557,45.93983,91.83883,87.00887,88.90364,44.081287,128.21626,223.19255,80.794174,74.29666,154.17413,187.12834,114.34898
2024-08-30,194.15378,331.91867,96.39947,190.90347,136.54227,201.72957,437.19202,177.03972,218.35406,216.18323,250.05685,234.30182,44.602547,47.057743,207.38242,70.82429,227.55518,131.16727,348.72974,78.54975,26.420067,109.73619,196.39798,38.28975,121.77999,422.32117,20.109749,25.470312,39.680668,32.419746,15.57858,70.823456,52.509747,39.77196,54.207962,36.63338,65.640144,29.093979,73.162285,167.02013,138.89601,21.149748,111.199814,5.7869134,16.927176,76.77905,47.42975,14.310262,5.0969133,95.71689,947.3498,53.863358,59.603073,8.708745,51.35671,56.66976,14.144746,9.799746,561.06726,218.98012,82.460625,5.749913,215.86519,51.41644,109.37132,41.721992,527.0715,61.459747,21.573486,167.1616,31.291471,114.81223,71.699745,25.302956,49.81678,154.46626,80.90702,27.199749,96.559746,96.06671,580.21906,741.8636,266.48386,267.39548,45.939747,91.838745,87.00879,88.90356,44.081203,128.21617,223.19246,80.79409,74.29658,154.17404,187.12825,114.3489
2024-08-31,194.15378,331.91867,96.39947,190.90347,136.54227,201.72957,437.19202,177.03972,218.35406,216.18323,250.05685,234.30182,44.602547,47.057743,207.38242,70.82429,227.55518,131.16727,348.72974,78.54975,26.420067,109.73619,196.39798,38.28975,121.77999,422.32117,20.109749,25.470312,39.680668,32.419746,15.57858,70.823456,52.509747,39.77196,54.207962,36.63338,65.640144,29.093979,73.162285,167.02013,138.89601,21.149748,111.199814,5.786913,16.927176,76.77905,47.42975,14.310262,5.096913,95.71689,947.3498,53.863358,59.603073,8.708745,51.35671,56.66976,14.144746,9.799746,561.06726,218.98012,82.460625,5.7499127,215.86519,51.41644,109.37132,41.721992,527.0715,61.459747,21.573486,167.1616,31.291471,114.81223,71.699745,25.302956,49.81678,154.46626,80.90702,27.199749,96.559746,96.06671,580.21906,741.8636,266.48386,267.39548,45.939747,91.838745,87.00879,88.90356,44.081203,128.21617,223.19246,80.79409,74.29658,154.17404,187.12825,114.3489
2024-09-01,194.15369,331.91858,96.39938,190.90338,136.54218,201.72948,437.19193,177.03963,218.35397,216.18314,250.05676,234.30173,44.602463,47.05766,207.38232,70.8242,227.55508,131.16718,348.72964,78.54967,26.419983,109.73611,196.39789,38.289665,121.77991,422.32108,20.109665,25.470228,39.680584,32.419662,15.578495,70.82337,52.509663,39.771877,54.20788,36.633297,65.64006,29.093895,73.1622,167.02003,138.89592,21.149664,111.19973,5.7869124,16.927092,76.77897,47.429665,14.310177,5.0969124,95.716805,947.34973,53.863274,59.60299,8.70866,51.356625,56.669678,14.144661,9.799661,561.0672,218.98003,82.46054,5.7499123,215.8651,51.416355,109.37124,41.72191,527.0714,61.459663,21.573402,167.16151,31.291388,114.81215,71.69966,25.302872,49.816696,154.46617,80.90694,27.199665,96.55966,96.06663,580.219,741.8635,266.48376,267.3954,45.939663,91.83866,87.008705,88.90347,44.08112,128.21608,223.19237,80.79401,74.29649,154.17395,187.12816,114.348816
2024-09-02,194.15369,331.91858,96.39938,190.90338,136.54218,201.72948,437.19193,177.03963,218.35397,216.18314,250.05676,234.30173,44.602463,47.05766,207.38232,70.8242,227.55508,131.16718,348.72964,78.54967,26.419983,109.73611,196.39789,38.289665,121.77991,422.32108,20.109665,25.470228,39.680584,32.419662,15.578495,70.82337,52.509663,39.771877,54.20788,36.633297,65.64006,29.093895,73.1622,167.02003,138.89592,21.149664,111.19973,5.786912,16.927092,76.77897,47.429665,14.310177,5.096912,95.716805,947.34973,53.863274,59.60299,8.70866,51.356625,56.669678,14.144661,9.799661,561.0672,218.98003,82.46054,5.749912,215.8651,51.416355,109.37124,41.72191,527.0714,61.459663,21.573402,167.16151,31.291388,114.81215,71.69966,25.302872,49.816696,154.46617,80.90694,27.199665,96.55966,96.06663,580.219,741.8635,266.48376,267.3954,45.939663,91.83866,87.008705,88.90347,44.08112,128.21608,223.19237,80.79401,74.29649,154.17395,187.12816,114.348816
2024-09-03,194.1536,331.9185,96.3993,190.90329,136.54208,201.72939,437.19183,177.03954,218.35388,216.18304,250.05667,234.30164,44.60238,47.057575,207.38223,70.82412,227.555,131.16708,348.72955,78.54958,26.419899,109.73602,196.3978,38.28958,121.77982,422.32098,20.109581,25.470144,39.6805,32.41958,15.57841,70.82329,52.50958,39.771793,54.207794,36.633213,65.63998,29.093811,73.16212,167.01994,138.89583,21.14958,111.199646,5.7869115,16.927008,76.778885,47.42958,14.310092,5.0969114,95.71672,947.3497,53.86319,59.602905,8.708575,51.35654,56.669594,14.144576,9.799576,561.06714,218.97993,82.46046,5.7499113,215.865,51.41627,109.371155,41.721825,527.07135,61.45958,21.573318,167.16142,31.291304,114.812065,71.69958,25.302788,49.816612,154.46608,80.90685,27.199581,96.55958,96.06654,580.21893,741.86346,266.48367,267.3953,45.93958,91.83858,87.00862,88.90339,44.081036,128.21599,223.19228,80.79392,74.29641,154.17386,187.12807,114.34873
2024-09-04,194.1536,331.9185,96.3993,190.90329,136.54208,201.72939,437.19183,177.03954,218.35388,216.18304,250.05667,234.30164,44.60238,47.057575,207.38223,70.82412,227.555,131.16708,348.72955,78.54958,26.419899,109.73602,196.3978,38.28958,121.77982,422.32098,20.109581,25.470144,39.6805,32.41958,15.57841,70.82329,52.50958,39.771793,54.207794,36.633213,65.63998,29.093811,73.16212,167.01994,138.89583,21.14958,111.199646,5.786911,16.927008,76.778885,47.42958,14.310092,5.096911,95.71672,947.3497,53.86319,59.602905,8.708575,51.35654,56.669594,14.144576,9.799576,561.06714,218.97993,82.46046,5.749911,215.865,51.41627,109.371155,41.721825,527.07135,61.45958,21.573318,167.16142,31.291304,114.812065,71.69958,25.302788,49.816612,154.46608,80.90685,27.199581,96.55958,96.06654,580.21893,741.86346,266.48367,267.3953,45.93958,91.83858,87.00862,88.90339,44.081036,128.21599,223.19228,80.79392,74.29641,154.17386,187.12807,114.34873
