Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.04344,331.80835,96.28911,190.79314,136.43193,201.61923,437.0817,176.92938,218.35434,216.1835,249.94652,234.3021,44.492188,46.947384,207.27208,70.71393,227.55545,131.05693,348.61942,78.43939,26.309708,109.62583,196.28764,38.17939,121.66963,422.21085,19.99939,25.359953,39.57031,32.309387,15.468224,70.7131,52.399387,39.661602,54.208214,36.52302,65.529785,28.98362,73.051926,166.90979,138.78568,21.039389,111.089455,5.6763897,16.816816,76.66869,47.43,14.199905,4.9863896,95.60653,947.35,53.86361,59.603325,8.598389,51.24635,56.559402,14.0343895,9.689389,560.95685,218.86978,82.350266,5.6393895,215.75485,51.30608,109.26096,41.611633,526.96106,61.46,21.463127,167.05127,31.181112,114.812485,71.589386,25.192596,49.70642,154.35593,80.79666,27.2,96.44939,95.95635,580.10864,741.7532,266.37354,267.28516,45.829388,91.728386,86.89843,88.7932,43.970844,128.10583,223.08212,80.68373,74.18622,154.0637,187.01791,114.23854
2024-08-27,194.03606,331.80096,96.281715,190.78575,136.42455,201.61185,437.0743,176.922,218.35434,216.1835,249.93913,234.3021,44.4848,46.939995,207.2647,70.706535,227.55545,131.04955,348.61203,78.432,26.302319,109.61844,196.28026,38.172,121.66224,422.20346,19.992,25.352564,39.56292,32.302,15.4608345,70.7057,52.392,39.654213,54.208214,36.515633,65.52239,28.97623,73.04453,166.9024,138.77829,21.032,111.08206,5.669,16.809427,76.6613,47.43,14.192516,4.979,95.59914,947.35,53.86361,59.603325,8.591,51.23896,56.552013,14.027,9.682,560.94946,218.8624,82.34287,5.632,215.74747,51.29869,109.25357,41.604244,526.9537,61.46,21.455738,167.04388,31.173723,114.812485,71.58199,25.185207,49.69903,154.34854,80.78927,27.2,96.44199,95.94896,580.10126,741.7458,266.36615,267.27777,45.822,91.72099,86.89104,88.785805,43.963455,128.09845,223.07474,80.67634,74.178825,154.05632,187.01053,114.23115
2024-08-28,194.04329,331.8082,96.28895,190.79298,136.43178,201.61908,437.08154,176.92923,218.35434,216.1835,249.94637,234.3021,44.49203,46.947227,207.27193,70.71377,227.55545,131.05678,348.61926,78.43923,26.309551,109.62567,196.28749,38.179234,121.66947,422.2107,19.999233,25.359797,39.570152,32.30923,15.468067,70.71294,52.39923,39.661446,54.208214,36.522865,65.529625,28.983463,73.051765,166.90964,138.78552,21.039232,111.089294,5.676233,16.81666,76.66853,47.43,14.199749,4.9862328,95.60637,947.35,53.86361,59.603325,8.598232,51.246193,56.559246,14.034233,9.689233,560.95667,218.86963,82.350105,5.6392326,215.7547,51.305923,109.2608,41.611477,526.9609,61.46,21.46297,167.05112,31.180956,114.812485,71.589226,25.19244,49.706264,154.35577,80.7965,27.2,96.44923,95.95619,580.10846,741.753,266.37338,267.285,45.82923,91.728226,86.89827,88.79304,43.970688,128.10568,223.08197,80.68357,74.18606,154.06355,187.01776,114.23838
2024-08-29,194.04332,331.80823,96.288994,190.79301,136.43181,201.61911,437.08157,176.92926,218.35434,216.1835,249.9464,234.3021,44.49207,46.947266,207.27196,70.71381,227.55545,131.05681,348.6193,78.43928,26.309587,109.62572,196.28752,38.17927,121.66952,422.21072,19.99927,25.359833,39.57019,32.30927,15.468103,70.71298,52.39927,39.661484,54.208214,36.522903,65.52967,28.9835,73.05181,166.90967,138.78555,21.039268,111.08934,5.6762705,16.816696,76.66858,47.43,14.199785,4.9862704,95.606415,947.35,53.86361,59.603325,8.5982685,51.24623,56.559284,14.034269,9.689269,560.9567,218.86966,82.35015,5.6392703,215.75473,51.30596,109.26085,41.611515,526.96094,61.46,21.463007,167.05115,31.180992,114.812485,71.58927,25.192476,49.706303,154.3558,80.79655,27.2,96.44927,95.95624,580.1085,741.75305,266.3734,267.28503,45.82927,91.72827,86.898315,88.79308,43.970726,128.10571,223.082,80.68362,74.186104,154.06358,187.01779,114.23843
2024-08-30,194.0433,331.8082,96.28897,190.793,136.4318,201.6191,437.08154,176.92924,218.35434,216.1835,249.94638,234.3021,44.49205,46.947247,207.27194,70.71379,227.55545,131.0568,348.61926,78.439255,26.309568,109.625694,196.2875,38.179253,121.669495,422.2107,19.99925,25.359814,39.57017,32.30925,15.468085,70.71296,52.39925,39.661465,54.208214,36.522884,65.52965,28.98348,73.05179,166.90965,138.78554,21.03925,111.08932,5.676252,16.816677,76.66856,47.43,14.199767,4.986252,95.60639,947.35,53.86361,59.603325,8.59825,51.246212,56.559265,14.034251,9.689251,560.9567,218.86964,82.35013,5.6392517,215.75471,51.305943,109.260826,41.611496,526.96094,61.46,21.462988,167.05113,31.180973,114.812485,71.58925,25.192457,49.706284,154.35579,80.796524,27.2,96.44925,95.956215,580.1085,741.75305,266.37338,267.285,45.82925,91.72825,86.89829,88.79306,43.970707,128.1057,223.08199,80.68359,74.18608,154.06357,187.01778,114.2384
2024-08-31,194.0433,331.8082,96.28896,190.793,136.4318,201.6191,437.08154,176.92924,218.35434,216.1835,249.94638,234.3021,44.492046,46.947243,207.27194,70.71378,227.55545,131.0568,348.61926,78.43925,26.309565,109.62569,196.2875,38.17925,121.66949,422.2107,19.999247,25.35981,39.570168,32.309246,15.468081,70.71295,52.399246,39.66146,54.208214,36.52288,65.52964,28.983477,73.05178,166.90965,138.78554,21.039246,111.08931,5.676248,16.816673,76.66855,47.43,14.199763,4.986248,95.606384,947.35,53.86361,59.603325,8.598247,51.24621,56.55926,14.034247,9.689247,560.9567,218.86964,82.35012,5.639248,215.75471,51.30594,109.26082,41.611492,526.96094,61.46,21.462984,167.05113,31.18097,114.812485,71.58924,25.192453,49.70628,154.35579,80.79652,27.2,96.44924,95.95621,580.1085,741.75305,266.37338,267.285,45.829247,91.72824,86.898285,88.79305,43.970703,128.1057,223.08199,80.683586,74.18607,154.06357,187.01778,114.238396
2024-09-01,194.0433,331.8082,96.28896,190.793,136.4318,201.6191,437.08154,176.92924,218.35434,216.1835,249.94638,234.3021,44.49205,46.947247,207.27194,70.71378,227.55545,131.0568,348.61926,78.43925,26.309566,109.62569,196.2875,38.179253,121.66949,422.2107,19.999249,25.359812,39.57017,32.30925,15.468083,70.71295,52.39925,39.661465,54.208214,36.522884,65.52964,28.983479,73.05178,166.90965,138.78554,21.039248,111.08931,5.67625,16.816675,76.66855,47.43,14.199765,4.98625,95.606384,947.35,53.86361,59.603325,8.5982485,51.246212,56.559265,14.034249,9.689249,560.8461,218.86964,82.35012,5.63925,215.75471,51.305943,109.26082,41.611496,526.85034,61.46,21.462986,167.05113,31.180971,114.812485,71.58924,25.192455,49.706284,154.35579,80.79652,27.2,96.44924,95.95621,579.9979,741.75305,266.37338,267.285,45.82925,91.72824,86.898285,88.79305,43.970707,128.1057,223.08199,80.683586,74.18607,154.06357,187.01778,114.238396
2024-09-02,194.0433,331.6976,96.28896,190.793,136.32118,201.50848,436.97095,176.81863,218.35434,216.1835,249.94638,234.3021,44.49205,46.947247,207.27194,70.71378,227.55545,130.94618,348.50867,78.43925,26.309566,109.62569,196.2875,38.179253,121.66949,422.1001,19.999249,25.359812,39.57017,32.30925,15.468083,70.71295,52.39925,39.661465,54.208214,36.522884,65.52964,28.983479,73.05178,166.79904,138.67493,21.039248,111.08931,5.67625,16.816675,76.66855,47.43,14.199765,4.98625,95.606384,947.35,53.86361,59.603325,8.5982485,51.246212,56.559265,14.034249,9.689249,560.83875,218.75903,82.35012,5.63925,215.6441,51.305943,109.26082,41.611496,526.84296,61.46,21.462986,166.94052,31.180971,114.812485,71.58924,25.192455,49.706284,154.24518,80.79652,27.2,96.44924,95.95621,579.99054,741.75305,266.2628,267.1744,45.82925,91.72824,86.898285,88.79305,43.970707,127.99509,222.97137,80.683586,74.18607,153.95296,186.90717,114.238396
2024-09-03,194.0433,331.69022,96.17835,190.793,136.3138,201.5011,436.96356,176.81125,218.35434,216.1835,249.94638,234.3021,44.49205,46.947247,207.27194,70.60317,227.55545,130.9388,348.50128,78.328636,26.309566,109.62569,196.2875,38.179253,121.558876,422.0927,19.999249,25.359812,39.57017,32.30925,15.468083,70.60234,52.39925,39.661465,54.208214,36.522884,65.41903,28.983479,72.94117,166.79166,138.66754,21.039248,111.08931,5.67625,16.816675,76.55794,47.43,14.199765,4.98625,95.49577,947.35,53.86361,59.603325,8.5982485,51.246212,56.559265,14.034249,9.689249,560.84595,218.75165,82.23951,5.63925,215.63672,51.305943,109.26082,41.611496,526.85016,61.46,21.462986,166.93314,31.180971,114.812485,71.47863,25.192455,49.706284,154.2378,80.685905,27.2,96.33863,95.8456,579.99774,741.75305,266.2554,267.16702,45.82925,91.61763,86.787674,88.68244,43.970707,127.98769,222.96399,80.572975,74.07546,153.94557,186.89978,114.127785
2024-09-04,194.0433,331.69745,96.17096,190.793,136.32103,201.50833,436.9708,176.81848,218.35434,216.1835,249.94638,234.3021,44.38144,46.836636,207.27194,70.59578,227.55545,130.94603,348.5085,78.32124,26.309566,109.62569,196.2875,38.06864,121.55148,422.09995,19.888638,25.2492,39.45956,32.19864,15.357472,70.59495,52.28864,39.550854,54.208214,36.412273,65.41164,28.983479,72.93378,166.79889,138.67477,20.928637,111.08931,5.5656395,16.706064,76.550545,47.43,14.089154,4.8756394,95.48838,947.35,53.86361,59.603325,8.4876375,51.1356,56.448654,13.923638,9.578638,560.846,218.75888,82.23212,5.5286393,215.64395,51.19533,109.26082,41.500885,526.8502,61.46,21.462986,166.94037,31.07036,114.812485,71.47124,25.192455,49.595673,154.24503,80.67851,27.2,96.33124,95.8382,579.9978,741.75305,266.26263,267.17426,45.71864,91.61024,86.78028,88.67505,43.860096,127.99493,222.97122,80.56558,74.06807,153.9528,186.90701,114.12039
