Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.15178,331.91666,96.397446,190.90147,136.54027,201.72757,437.19,177.03772,218.35207,216.18123,250.05486,234.29982,44.60052,47.055717,207.38042,70.822266,227.55318,131.16527,348.72772,78.54773,26.418043,109.73417,196.39598,38.287724,121.77797,422.31915,20.107725,25.468288,39.678642,32.41772,15.576558,70.821434,52.50772,39.769936,54.205936,36.631355,65.63812,29.091955,73.16026,167.01813,138.89401,21.147724,111.19779,5.784724,16.925152,76.77703,47.427723,14.30824,5.094724,95.71487,947.3477,53.861332,59.601048,8.706723,51.354683,56.667736,14.142724,9.797724,561.0652,218.97812,82.4586,5.747724,215.86319,51.414413,109.3693,41.719967,527.0694,61.45772,21.571463,167.1596,31.289448,114.81021,71.69772,25.300932,49.814754,154.46426,80.905,27.197725,96.557724,96.06469,580.217,741.8615,266.48184,267.39346,45.93772,91.83672,87.00677,88.901535,44.079178,128.21417,223.19046,80.79207,74.294556,154.17204,187.12625,114.34688
2024-08-27,194.15292,331.9178,96.39858,190.90262,136.54141,201.7287,437.19116,177.03885,218.35321,216.18237,250.056,234.30096,44.601658,47.05685,207.38156,70.8234,227.55432,131.16641,348.72888,78.54887,26.41918,109.735306,196.39713,38.28886,121.779106,422.3203,20.108862,25.469423,39.679775,32.418858,15.577693,70.82257,52.508854,39.77107,54.207073,36.63249,65.63926,29.093092,73.1614,167.01926,138.89514,21.148859,111.19893,5.7858596,16.926287,76.77817,47.42886,14.309375,5.09586,95.716,947.3489,53.86247,59.602184,8.707858,51.355816,56.668873,14.143859,9.79886,561.0663,218.97925,82.45974,5.74886,215.86432,51.415546,109.37044,41.721104,527.07056,61.45886,21.5726,167.16074,31.290583,114.81135,71.69886,25.302069,49.81589,154.4654,80.906136,27.198862,96.55886,96.06583,580.21814,741.8627,266.48297,267.3946,45.938854,91.83786,87.007904,88.90267,44.08031,128.2153,223.19159,80.793205,74.29569,154.17319,187.12738,114.348015
2024-08-28,194.15234,331.91724,96.39801,190.90204,136.54083,201.72813,437.19058,177.03828,218.35263,216.1818,250.05542,234.30038,44.60109,47.056282,207.38098,70.82283,227.55374,131.16583,348.7283,78.548294,26.41861,109.73474,196.39655,38.288292,121.778534,422.31973,20.108292,25.468855,39.679207,32.41829,15.577125,70.82201,52.508286,39.7705,54.206505,36.63192,65.63869,29.092522,73.16083,167.01869,138.89458,21.14829,111.198364,5.7852902,16.925718,76.7776,47.42829,14.308806,5.0952907,95.71544,947.34827,53.8619,59.601616,8.70729,51.355247,56.668304,14.1432905,9.798291,561.06573,218.97868,82.45917,5.7482905,215.86375,51.414978,109.36987,41.720535,527.06995,61.45829,21.57203,167.16017,31.290014,114.810776,71.69829,25.301498,49.815323,154.46483,80.90556,27.198292,96.55829,96.06526,580.2175,741.86206,266.48242,267.39404,45.938286,91.837296,87.00734,88.9021,44.079742,128.21474,223.19102,80.79263,74.29512,154.1726,187.12682,114.34744
2024-08-29,194.15263,331.9175,96.3983,190.90233,136.54112,201.72842,437.19086,177.03857,218.35292,216.18208,250.05571,234.30067,44.60137,47.056564,207.38127,70.82312,227.55403,131.16612,348.72858,78.548584,26.418896,109.73502,196.39684,38.288574,121.778824,422.32,20.108578,25.46914,39.67949,32.41857,15.577408,70.82229,52.508568,39.770782,54.206787,36.632202,65.63898,29.092808,73.16112,167.01898,138.89487,21.148575,111.19865,5.7855744,16.926003,76.777885,47.428574,14.30909,5.095575,95.71572,947.3486,53.862183,59.6019,8.707573,51.35553,56.668587,14.143574,9.798574,561.06604,218.97897,82.45946,5.7485747,215.86404,51.41526,109.370155,41.720818,527.07025,61.458572,21.572315,167.16046,31.290298,114.811066,71.69858,25.301785,49.815605,154.46512,80.90585,27.198578,96.55858,96.065544,580.21783,741.86237,266.4827,267.39432,45.93857,91.83758,87.00762,88.90239,44.080025,128.21503,223.19131,80.79292,74.29541,154.1729,187.1271,114.34773
2024-08-30,194.1525,331.91736,96.398155,190.90219,136.54099,201.72827,437.19073,177.03842,218.35278,216.18195,250.05557,234.30054,44.60123,47.056423,207.38113,70.822975,227.5539,131.16599,348.72845,78.54844,26.418753,109.73488,196.3967,38.288433,121.77868,422.3199,20.108435,25.468998,39.679348,32.41843,15.577267,70.82214,52.508427,39.77064,54.206646,36.63206,65.63883,29.092665,73.16097,167.01883,138.89471,21.148434,111.1985,5.785432,16.925861,76.77774,47.428432,14.3089485,5.0954323,95.715576,947.3484,53.86204,59.601757,8.707432,51.35539,56.668446,14.143433,9.798433,561.0659,218.97882,82.45931,5.748432,215.86389,51.41512,109.37001,41.720676,527.07007,61.45843,21.572172,167.16031,31.290157,114.81092,71.69843,25.301641,49.815464,154.46497,80.90571,27.198435,96.55843,96.0654,580.21765,741.8622,266.48254,267.39417,45.938427,91.83743,87.00748,88.902245,44.079884,128.21487,223.19116,80.79278,74.295265,154.17276,187.12695,114.34759
2024-08-31,194.15256,331.91742,96.398224,190.90225,136.54105,201.72835,437.1908,177.0385,218.35284,216.182,250.05563,234.3006,44.601303,47.056496,207.3812,70.823044,227.55396,131.16605,348.72852,78.54851,26.418823,109.734955,196.39676,38.288506,121.77875,422.31995,20.108505,25.469069,39.67942,32.418503,15.577337,70.82222,52.5085,39.770714,54.20672,36.632133,65.6389,29.092735,73.16104,167.0189,138.89479,21.148504,111.19858,5.7855034,16.925932,76.77782,47.428505,14.309019,5.095504,95.71565,947.3485,53.862114,59.60183,8.707502,51.35546,56.668518,14.143503,9.798504,561.066,218.9789,82.45938,5.7485037,215.86397,51.41519,109.37009,41.72075,527.0702,61.458504,21.572243,167.16039,31.290228,114.81099,71.6985,25.301712,49.815536,154.46504,80.90578,27.198505,96.5585,96.065475,580.2178,741.8623,266.4826,267.39423,45.9385,91.83751,87.00755,88.90231,44.079956,128.21495,223.19124,80.79285,74.295334,154.17282,187.12703,114.34766
2024-09-01,194.15253,331.9174,96.39819,190.90222,136.54102,201.7283,437.19077,177.03845,218.35281,216.18198,250.0556,234.30057,44.601265,47.056458,207.38116,70.82301,227.55392,131.16602,348.7285,78.54848,26.418789,109.73492,196.39673,38.288467,121.77872,422.31992,20.10847,25.469032,39.679382,32.418465,15.577302,70.82218,52.50846,39.770676,54.20668,36.632095,65.63887,29.092701,73.16101,167.01886,138.89474,21.148468,111.19854,5.7854676,16.925896,76.77778,47.428467,14.308984,5.095468,95.715614,947.34845,53.862076,59.60179,8.707467,51.355423,56.66848,14.143468,9.798469,561.0659,218.97885,82.45935,5.748468,215.86392,51.415154,109.37005,41.72071,527.0701,61.458466,21.572208,167.16034,31.290192,114.81096,71.69847,25.301678,49.8155,154.465,80.90575,27.198471,96.55847,96.06544,580.2177,741.86224,266.48257,267.3942,45.93846,91.83747,87.007515,88.90228,44.079918,128.2149,223.1912,80.792816,74.2953,154.17279,187.12698,114.347626
2024-09-02,194.15254,331.91742,96.39821,190.90224,136.54103,201.72833,437.1908,177.03848,218.35283,216.18199,250.05562,234.30058,44.601284,47.056477,207.38118,70.82303,227.55394,131.16603,348.72852,78.54849,26.418806,109.73494,196.39674,38.288486,121.77873,422.31995,20.108488,25.469051,39.6794,32.418484,15.57732,70.822205,52.50848,39.770695,54.2067,36.632114,65.638885,29.092718,73.161026,167.01889,138.89478,21.148487,111.19856,5.7854853,16.925915,76.7778,47.428486,14.309002,5.0954857,95.71564,947.3485,53.862095,59.60181,8.707485,51.355442,56.6685,14.143486,9.798487,561.0659,218.97888,82.459366,5.7484856,215.86395,51.415173,109.37007,41.72073,527.0702,61.458485,21.572226,167.16037,31.29021,114.810974,71.69849,25.301695,49.815517,154.46503,80.90576,27.198488,96.55849,96.06546,580.2178,741.8623,266.4826,267.39423,45.93848,91.837494,87.00754,88.9023,44.079937,128.21494,223.19122,80.79283,74.29532,154.1728,187.12701,114.34764
2024-09-03,194.15253,331.91742,96.3982,190.90222,136.54102,201.72832,437.1908,177.03847,218.35281,216.18198,250.0556,234.30057,44.601273,47.056465,207.38116,70.82302,227.55392,131.16602,348.72852,78.548485,26.418797,109.734924,196.39673,38.288475,121.778725,422.31995,20.108479,25.469042,39.67939,32.418472,15.577311,70.82219,52.50847,39.770683,54.206688,36.632103,65.63888,29.092709,73.16102,167.01888,138.89476,21.148478,111.19855,5.7854767,16.925905,76.77779,47.428474,14.308992,5.095477,95.71562,947.3485,53.862083,59.6018,8.707476,51.35543,56.668488,14.1434765,9.798477,561.06366,218.97887,82.45936,5.748477,215.86394,51.41516,109.370056,41.72072,527.0702,61.458473,21.572216,167.16035,31.290201,114.81097,71.69848,25.301685,49.815506,154.46501,80.905754,27.198479,96.55848,96.065445,580.2178,741.8623,266.4826,267.39423,45.93847,91.83748,87.00752,88.90229,44.079926,128.21492,223.19121,80.79282,74.29531,154.17279,187.127,114.34763
2024-09-04,194.15253,331.91513,96.39821,190.90222,136.54102,201.72833,437.1885,177.03848,218.35281,216.18198,250.0556,234.30057,44.60128,47.056473,207.38116,70.82303,227.55392,131.16602,348.72623,78.54849,26.4188,109.73493,196.39673,38.288483,121.77873,422.31766,20.108482,25.469048,39.679398,32.41848,15.577315,70.8222,52.508476,39.77069,54.206696,36.63211,65.638885,29.092712,73.161026,167.01889,138.89478,21.148483,111.198555,5.785481,16.92591,76.777794,47.428482,14.308997,5.0954814,95.71563,947.34625,53.86209,59.601807,8.70748,51.35544,56.668495,14.143481,9.798482,561.0648,218.97888,82.459366,5.7484813,215.86395,51.41517,109.37006,41.720726,527.06793,61.45848,21.57222,167.16037,31.290207,114.810974,71.69849,25.30169,49.815514,154.46503,80.90576,27.198483,96.55849,96.06545,580.2155,741.86005,266.48032,267.39194,45.938477,91.83749,87.00753,88.9023,44.079933,128.21494,223.19122,80.79283,74.29532,154.17279,187.12701,114.34764
