Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.14296,331.90787,96.388626,190.89265,136.53145,201.71875,437.1812,177.0289,218.35434,216.1835,250.04604,234.3021,44.59171,47.046906,207.3716,70.813446,227.55545,131.15645,348.71893,78.53891,26.40923,109.72535,196.38716,38.27891,121.76915,422.31036,20.098911,25.459475,39.66983,32.40891,15.567745,70.812614,52.49891,39.761124,54.208214,36.622543,65.6293,29.083141,73.15144,167.00931,138.8852,21.13891,111.18897,5.775911,16.916338,76.76821,47.43,14.299427,5.085911,95.70605,947.35,53.86361,59.603325,8.69791,51.34587,56.658924,14.133911,9.788911,561.05634,218.9693,82.44978,5.7389107,215.85437,51.4056,109.36048,41.711155,527.06055,61.46,21.562649,167.15079,31.280634,114.812485,71.6889,25.292118,49.805943,154.45544,80.89618,27.2,96.548904,96.05587,580.2081,741.85266,266.47305,267.38467,45.92891,91.8279,86.99795,88.892715,44.070366,128.20535,223.18164,80.78325,74.285736,154.16322,187.11743,114.33806
2024-08-27,194.14348,331.9084,96.389145,190.89317,136.53197,201.71927,437.18173,177.02942,218.35434,216.1835,250.04655,234.3021,44.592224,47.04742,207.37212,70.813965,227.55545,131.15697,348.71945,78.53943,26.409744,109.72587,196.38768,38.279427,121.76967,422.31088,20.099426,25.45999,39.670345,32.409424,15.568261,70.81313,52.499424,39.76164,54.208214,36.62306,65.62982,29.083656,73.15196,167.00983,138.88571,21.139425,111.18949,5.7764263,16.916853,76.76873,47.43,14.299943,5.0864263,95.706566,947.35,53.86361,59.603325,8.698426,51.346386,56.65944,14.134427,9.789427,561.0568,218.96982,82.4503,5.739426,215.85489,51.406116,109.361,41.71167,527.06104,61.46,21.563164,167.1513,31.281149,114.812485,71.68942,25.292633,49.806458,154.45596,80.8967,27.2,96.54942,96.05639,580.2086,741.85315,266.47357,267.3852,45.929424,91.82842,86.99847,88.893234,44.07088,128.20587,223.18216,80.78377,74.286255,154.16374,187.11795,114.33858
2024-08-28,194.14345,331.90836,96.38911,190.89314,136.53194,201.71924,437.1817,177.02939,218.35434,216.1835,250.04652,234.3021,44.59219,47.047386,207.37209,70.81393,227.55545,131.15694,348.71942,78.53939,26.409708,109.72583,196.38765,38.279392,121.76963,422.31085,20.09939,25.459953,39.67031,32.40939,15.568225,70.813095,52.49939,39.761604,54.208214,36.623024,65.62978,29.08362,73.151924,167.0098,138.88568,21.139389,111.18945,5.77639,16.916817,76.76869,47.43,14.299907,5.08639,95.70653,947.35,53.86361,59.603325,8.69839,51.34635,56.659405,14.134391,9.789391,561.0568,218.96979,82.450264,5.73939,215.85486,51.406082,109.36096,41.711636,527.06104,61.46,21.563128,167.15128,31.281113,114.812485,71.689384,25.292597,49.806423,154.45593,80.89666,27.2,96.549385,96.05635,580.2086,741.85315,266.47354,267.38516,45.92939,91.828384,86.99843,88.893196,44.070847,128.20584,223.18213,80.78373,74.28622,154.16371,187.11792,114.33854
2024-08-29,194.14345,331.90836,96.38911,190.89314,136.53194,201.71924,437.1817,177.02939,218.35434,216.1835,250.04652,234.3021,44.59219,47.047386,207.37209,70.81393,227.55545,131.15694,348.71942,78.53939,26.409708,109.72583,196.38765,38.279392,121.76963,422.31085,20.09939,25.459953,39.67031,32.40939,15.568225,70.813095,52.49939,39.761604,54.208214,36.623024,65.62978,29.08362,73.151924,167.0098,138.88568,21.139389,111.18945,5.7763906,16.916817,76.76869,47.43,14.299907,5.0863905,95.70653,947.35,53.86361,59.603325,8.69839,51.34635,56.659405,14.134391,9.789391,561.0568,218.96979,82.450264,5.7393904,215.85486,51.406082,109.36096,41.711636,527.06104,61.46,21.563128,167.15128,31.281113,114.812485,71.689384,25.292597,49.806423,154.45593,80.89666,27.2,96.549385,96.05635,580.2086,741.85315,266.47354,267.38516,45.92939,91.828384,86.99843,88.893196,44.070847,128.20584,223.18213,80.78373,74.28622,154.16371,187.11792,114.33854
2024-08-30,194.14345,331.90836,96.38911,190.89314,136.53194,201.71924,437.1817,177.02939,218.35434,216.1835,250.04652,234.3021,44.59219,47.047386,207.37209,70.81393,227.55545,131.15694,348.71942,78.53939,26.409708,109.72583,196.38765,38.279392,121.76963,422.31085,20.09939,25.459953,39.67031,32.40939,15.568224,70.813095,52.49939,39.761604,54.208214,36.623024,65.62978,29.08362,73.151924,167.0098,138.88568,21.139389,111.18945,5.7763906,16.916817,76.76869,47.43,14.299906,5.0863905,95.70653,947.35,53.86361,59.603325,8.698389,51.34635,56.659405,14.13439,9.78939,561.0457,218.96979,82.450264,5.7393904,215.85486,51.406082,109.36096,41.711636,527.0499,61.46,21.563128,167.15128,31.281113,114.812485,71.689384,25.292597,49.806423,154.45593,80.89666,27.2,96.549385,96.05635,580.1975,741.85315,266.47354,267.38516,45.92939,91.828384,86.99843,88.893196,44.070847,128.20584,223.18213,80.78373,74.28622,154.16371,187.11792,114.33854
2024-08-31,194.13235,331.89728,96.37801,190.88205,136.52084,201.70815,437.1817,177.02939,218.35434,216.1835,250.03543,234.3021,44.5811,47.047386,207.361,70.80283,227.55545,131.14584,348.71942,78.5283,26.398619,109.71474,196.37656,38.268303,121.75854,422.31085,20.0883,25.448864,39.65922,32.3983,15.568224,70.802,52.4883,39.750515,54.208214,36.611935,65.61869,29.07253,73.14083,166.9987,138.87459,21.1283,111.17836,5.7763906,16.905727,76.7576,47.43,14.299906,5.0863905,95.70653,947.35,53.86361,59.603325,8.698389,51.34635,56.648315,14.13439,9.78939,561.0462,218.9587,82.43917,5.7393904,215.84377,51.394993,109.34987,41.700546,527.0504,61.46,21.552038,167.14018,31.270023,114.812485,71.67829,25.281507,49.795334,154.44484,80.88557,27.2,96.53829,96.05635,580.198,741.85315,266.46246,267.37408,45.92939,91.828384,86.99843,88.8821,44.059757,128.19475,223.17104,80.77264,74.27512,154.15262,187.10683,114.327446
2024-09-01,194.13287,331.8978,96.37853,190.88257,136.52136,201.70866,437.1817,177.02939,218.35434,216.1835,250.03595,234.3021,44.581615,47.047386,207.36151,70.80335,227.55545,131.14636,348.71942,78.52882,26.399134,109.715256,196.37708,38.268818,121.759056,422.31085,20.088816,25.449379,39.659737,32.398815,15.568224,70.80252,52.488815,39.75103,54.208214,36.61245,65.61921,29.073046,73.14135,166.99922,138.8751,21.128815,111.17888,5.765301,16.906242,76.75812,47.43,14.299906,5.075301,95.70653,947.35,53.86361,59.603325,8.698389,51.34635,56.64883,14.13439,9.78939,561.0462,218.95921,82.43969,5.7393904,215.84428,51.395508,109.35039,41.70106,527.0504,61.46,21.552553,167.1407,31.270538,114.812485,71.67881,25.282022,49.79585,154.44536,80.886086,27.2,96.53881,96.05635,580.198,741.85315,266.46298,267.3746,45.92939,91.828384,86.99843,88.88262,44.060272,128.19527,223.17155,80.773155,74.27564,154.15314,187.10735,114.327965
2024-09-02,194.13284,331.89777,96.378494,190.88254,136.52133,201.70863,437.1817,177.02939,218.35434,216.1835,250.03592,234.3021,44.58158,47.047386,207.36148,70.803314,227.55545,131.14633,348.71942,78.52878,26.399097,109.71522,196.37704,38.268784,121.75902,422.31085,20.08878,25.449343,39.659702,32.39878,15.568224,70.80248,52.48878,39.750996,54.208214,36.612415,65.61917,29.07301,73.14131,166.99919,138.87508,21.128778,111.17884,5.7658167,16.906206,76.75808,47.43,14.299906,5.0758166,95.70653,947.35,53.86361,59.603325,8.6873,51.34635,56.648796,14.13439,9.7783,561.0462,218.95918,82.43965,5.7393904,215.84425,51.395473,109.35035,41.701027,527.0504,61.46,21.552517,167.14067,31.270502,114.812485,71.67877,25.281986,49.795815,154.44533,80.88605,27.2,96.53877,96.05635,580.198,741.85315,266.46295,267.37457,45.92939,91.828384,86.99843,88.88258,44.060238,128.19524,223.17152,80.77312,74.275604,154.1531,187.10732,114.32793
2024-09-03,194.13284,331.89777,96.378494,190.88254,136.52133,201.70863,437.1817,177.02939,218.35434,216.1835,250.03592,234.3021,44.58158,47.047386,207.36148,70.803314,227.55545,131.14633,348.71942,78.52878,26.399097,109.71522,196.37704,38.268784,121.75902,422.31085,20.08878,25.449343,39.659702,32.39878,15.568224,70.80248,52.48878,39.750996,54.208214,36.612415,65.61917,29.07301,73.14131,166.99919,138.87508,21.128778,111.17884,5.7657804,16.906206,76.75808,47.43,14.299906,5.0757804,95.70653,947.35,53.86361,59.603325,8.687816,51.34635,56.648796,14.13439,9.778816,561.0351,218.95918,82.43965,5.7393904,215.84425,51.395473,109.35035,41.701027,527.0393,61.46,21.552517,167.14067,31.270502,114.812485,71.67877,25.281986,49.795815,154.44533,80.88605,27.2,96.53877,96.05635,580.1869,741.85315,266.46295,267.37457,45.92939,91.828384,86.99843,88.88258,44.060238,128.19524,223.17152,80.77312,74.275604,154.1531,187.10732,114.32793
2024-09-04,194.13284,331.89777,96.378494,190.88254,136.52133,201.70863,437.1817,177.02939,218.35434,216.1835,250.03592,234.3021,44.58158,47.047386,207.36148,70.803314,227.55545,131.14633,348.71942,78.52878,26.399097,109.71522,196.37704,38.268784,121.75902,422.31085,20.08878,25.449343,39.659702,32.39878,15.568224,70.80248,52.48878,39.750996,54.208214,36.612415,65.61917,29.07301,73.14131,166.99919,138.87508,21.128778,111.17884,5.765781,16.906206,76.75808,47.43,14.299906,5.075781,95.70653,947.35,53.86361,59.603325,8.687779,51.34635,56.648796,14.13439,9.77878,561.0356,218.95918,82.43965,5.7393904,215.84425,51.395473,109.35035,41.701027,527.0398,61.46,21.552517,167.14067,31.270502,114.812485,71.67877,25.281986,49.795815,154.44533,80.88605,27.2,96.53877,96.05635,580.1874,741.85315,266.46295,267.37457,45.92939,91.828384,86.99843,88.88258,44.060238,128.19524,223.17152,80.77312,74.275604,154.1531,187.10732,114.32793
