Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.15335,331.91824,96.399025,190.90305,136.54184,201.72914,437.1916,177.03929,218.35364,216.1828,250.05643,234.30139,44.602104,47.0573,207.38199,70.823845,227.55475,131.16684,348.7293,78.54931,26.419624,109.73575,196.39755,38.289307,121.77955,422.32074,20.109306,25.46987,39.680225,32.419304,15.578139,70.82301,52.509304,39.77152,54.20752,36.63294,65.6397,29.093536,73.16184,167.0197,138.89558,21.149305,111.19937,5.786305,16.926733,76.77861,47.429306,14.309821,5.096305,95.716446,947.3493,53.862915,59.60263,8.708304,51.356266,56.66932,14.144305,9.799305,561.0668,218.97969,82.46018,5.749305,215.86476,51.415997,109.37088,41.72155,527.071,61.459305,21.573044,167.16118,31.291029,114.81179,71.6993,25.302513,49.816338,154.46584,80.90658,27.199306,96.5593,96.06627,580.21857,741.8631,266.48343,267.39505,45.939304,91.8383,87.00835,88.903114,44.08076,128.21574,223.19203,80.79365,74.296135,154.17361,187.12782,114.34846
2024-08-27,194.15265,331.91754,96.39833,190.90234,136.54114,201.72844,437.1909,177.03859,218.35294,216.1821,250.05573,234.30069,44.60141,47.056606,207.38129,70.82315,227.55405,131.16614,348.7286,78.548615,26.41893,109.735054,196.39685,38.288612,121.778854,422.32004,20.108612,25.469175,39.67953,32.41861,15.577444,70.82232,52.50861,39.770824,54.206825,36.632244,65.63901,29.092842,73.16115,167.019,138.89488,21.148611,111.19868,5.7856097,16.926039,76.777916,47.42861,14.309126,5.0956097,95.71575,947.34863,53.86222,59.601936,8.707609,51.35557,56.668625,14.14361,9.79861,561.0661,218.97899,82.45949,5.7486095,215.86406,51.415302,109.370186,41.720856,527.0703,61.45861,21.57235,167.16048,31.290335,114.8111,71.69861,25.301819,49.815643,154.46513,80.90588,27.198612,96.55861,96.065575,580.2179,741.8624,266.48273,267.39435,45.93861,91.83761,87.00765,88.90242,44.080067,128.21504,223.19133,80.79295,74.29544,154.17291,187.12712,114.34776
2024-08-28,194.15195,331.91684,96.39764,190.90164,136.54044,201.72774,437.1902,177.03789,218.35223,216.1814,250.05502,234.29999,44.600716,47.055912,207.38058,70.82246,227.55334,131.16544,348.7279,78.54792,26.418236,109.73436,196.39615,38.287918,121.77816,422.31934,20.107918,25.468481,39.678837,32.417915,15.576749,70.821625,52.507915,39.77013,54.20613,36.63155,65.63831,29.092148,73.16045,167.0183,138.89418,21.147917,111.19798,5.7849145,16.925344,76.77722,47.427917,14.308431,5.0949144,95.71506,947.34796,53.861526,59.601242,8.706914,51.354877,56.66793,14.142915,9.7979145,561.0654,218.97829,82.45879,5.7479143,215.86336,51.414608,109.36949,41.72016,527.06964,61.457916,21.571655,167.15977,31.28964,114.8104,71.697914,25.301125,49.81495,154.46443,80.90519,27.197918,96.557915,96.06488,580.2172,741.86176,266.48203,267.39365,45.937916,91.836914,87.00696,88.901726,44.079372,128.21434,223.19063,80.79226,74.29475,154.17221,187.12642,114.34707
2024-08-29,194.15125,331.91614,96.39694,190.90094,136.53973,201.72704,437.18948,177.03719,218.35153,216.1807,250.05432,234.29929,44.60002,47.055218,207.37988,70.82176,227.55264,131.16473,348.7272,78.547226,26.417542,109.733665,196.39545,38.287224,121.777466,422.31863,20.107224,25.467787,39.678143,32.41722,15.576054,70.82093,52.50722,39.769436,54.205437,36.630856,65.63762,29.091454,73.15976,167.0176,138.89348,21.147223,111.19729,5.7842193,16.92465,76.77653,47.427223,14.307735,5.094219,95.71436,947.3473,53.860832,59.600548,8.706219,51.354183,56.667236,14.14222,9.797219,561.06476,218.97758,82.4581,5.747219,215.86266,51.413914,109.3688,41.719467,527.069,61.457222,21.570961,167.15907,31.288946,114.80971,71.69722,25.30043,49.814255,154.46373,80.904495,27.197224,96.55722,96.064186,580.21655,741.8611,266.48132,267.39294,45.93722,91.83622,87.00626,88.90103,44.07868,128.21364,223.18993,80.791565,74.29405,154.17151,187.12572,114.346375
2024-08-30,194.15054,331.91544,96.39625,190.90024,136.53903,201.72633,437.18878,177.03648,218.35083,216.18,250.05362,234.29858,44.599327,47.054523,207.37918,70.82107,227.55194,131.16403,348.7265,78.54653,26.416847,109.73297,196.39474,38.28653,121.77677,422.31793,20.10653,25.467093,39.67745,32.416527,15.575358,70.82024,52.506527,39.76874,54.204742,36.63016,65.636925,29.09076,73.159065,167.01689,138.89278,21.146528,111.196594,5.783524,16.923956,76.77583,47.42653,14.30704,5.093524,95.71367,947.3466,53.860138,59.599854,8.7055235,51.35349,56.666542,14.141524,9.796524,561.0641,218.97688,82.457405,5.746524,215.86195,51.41322,109.3681,41.718773,527.0683,61.456528,21.570267,167.15837,31.288252,114.80901,71.696526,25.299736,49.81356,154.46303,80.9038,27.19653,96.556526,96.06349,580.2159,741.8604,266.48062,267.39224,45.936527,91.835526,87.00557,88.90034,44.077984,128.21294,223.18922,80.79087,74.29336,154.1708,187.12502,114.34568
2024-08-31,194.14984,331.91473,96.39555,190.89954,136.53833,201.72563,437.18808,177.03578,218.35013,216.17929,250.05292,234.29788,44.598633,47.05383,207.37848,70.82037,227.55124,131.16333,348.7258,78.54584,26.416153,109.73228,196.39404,38.285835,121.77608,422.31723,20.105835,25.466398,39.676754,32.415833,15.574663,70.81954,52.505833,39.768047,54.20405,36.629467,65.63623,29.090065,73.15837,167.01619,138.89207,21.145834,111.1959,5.782829,16.923262,76.77514,47.425835,14.306345,5.0928288,95.712975,947.34595,53.859444,59.59916,8.704828,51.352795,56.665848,14.140829,9.795829,561.0634,218.97618,82.45671,5.7458286,215.86125,51.412525,109.36741,41.71808,527.0676,61.455833,21.569572,167.15767,31.287558,114.80832,71.69583,25.299042,49.812866,154.46233,80.90311,27.195835,96.55583,96.0628,580.2152,741.85974,266.47992,267.39154,45.935833,91.83483,87.004875,88.89964,44.07729,128.21223,223.18852,80.79018,74.29266,154.1701,187.12431,114.344986
2024-09-01,194.14914,331.91403,96.39486,190.89883,136.53763,201.72493,437.18738,177.03508,218.34943,216.17859,250.05222,234.29718,44.59794,47.053135,207.37778,70.81968,227.55054,131.16263,348.7251,78.54514,26.415459,109.73158,196.39334,38.28514,121.77538,422.31653,20.10514,25.465704,39.67606,32.41514,15.573968,70.81885,52.50514,39.767353,54.203354,36.628773,65.63554,29.08937,73.15768,167.01549,138.89137,21.14514,111.195206,5.7821336,16.922567,76.774445,47.42514,14.30565,5.0921335,95.71228,947.3453,53.85875,59.598465,8.704133,51.3521,56.665154,14.140134,9.795134,561.06274,218.97548,82.45602,5.7451334,215.86055,51.41183,109.366714,41.717384,527.06696,61.45514,21.568878,167.15697,31.286863,114.807625,71.69514,25.298347,49.812172,154.46162,80.90241,27.19514,96.55514,96.0621,580.21454,741.8591,266.47922,267.39084,45.93514,91.83414,87.00418,88.89895,44.076595,128.21153,223.18782,80.78948,74.29197,154.1694,187.12361,114.34429
2024-09-02,194.14844,331.91333,96.394165,190.89813,136.53693,201.72423,437.18668,177.03438,218.34872,216.17789,250.05151,234.29648,44.597244,47.05244,207.37708,70.818985,227.54984,131.16193,348.7244,78.54445,26.414764,109.73089,196.39264,38.284447,121.77469,422.31583,20.104446,25.46501,39.675365,32.414444,15.573273,70.81815,52.504444,39.76666,54.20266,36.62808,65.63484,29.088676,73.15698,167.01479,138.89067,21.144445,111.19451,5.7814384,16.921873,76.77375,47.424446,14.304955,5.0914383,95.711586,947.3446,53.858055,59.59777,8.703438,51.351406,56.66446,14.139439,9.794438,561.0621,218.97478,82.45532,5.744438,215.85985,51.411137,109.36602,41.71669,527.0663,61.454445,21.568184,167.15627,31.28617,114.80693,71.69444,25.297653,49.811478,154.46092,80.90172,27.194447,96.55444,96.06141,580.21387,741.8584,266.47852,267.39014,45.934444,91.83344,87.00349,88.898254,44.0759,128.21083,223.18712,80.78879,74.291275,154.1687,187.12291,114.3436
2024-09-03,194.14774,331.91263,96.39347,190.89743,136.53622,201.72353,437.18597,177.03368,218.34802,216.17719,250.05081,234.29578,44.59655,47.051746,207.37637,70.81829,227.54913,131.16122,348.7237,78.543755,26.41407,109.730194,196.39194,38.283752,121.773994,422.31512,20.103752,25.464315,39.67467,32.41375,15.572577,70.81746,52.50375,39.765965,54.201965,36.627384,65.63415,29.087982,73.15629,167.01408,138.88997,21.143751,111.19382,5.780743,16.921179,76.773056,47.42375,14.304259,5.090743,95.71089,947.34393,53.85736,59.597076,8.702743,51.35071,56.663765,14.138743,9.793743,561.0614,218.97408,82.45463,5.743743,215.85915,51.410442,109.365326,41.715996,527.0656,61.45375,21.56749,167.15556,31.285475,114.80624,71.69375,25.296959,49.810783,154.46022,80.901024,27.193752,96.55375,96.060715,580.2132,741.8577,266.4778,267.38943,45.93375,91.83275,87.00279,88.89756,44.075207,128.21013,223.18642,80.78809,74.29058,154.168,187.12221,114.3429
2024-09-04,194.14703,331.91193,96.39278,190.89673,136.53552,201.72282,437.18527,177.03297,218.34732,216.17648,250.05011,234.29507,44.595856,47.051052,207.37567,70.8176,227.54843,131.16052,348.723,78.54306,26.413376,109.7295,196.39124,38.28306,121.7733,422.31442,20.103058,25.463621,39.673977,32.413055,15.571882,70.816765,52.503056,39.76527,54.20127,36.62669,65.63345,29.087288,73.155594,167.01338,138.88927,21.143057,111.19312,5.780048,16.920485,76.77236,47.423058,14.303564,5.090048,95.7102,947.34326,53.856667,59.596382,8.702047,51.350018,56.66307,14.138048,9.793048,561.0607,218.97337,82.45393,5.7430477,215.85844,51.409748,109.36463,41.7153,527.06494,61.453056,21.566795,167.15486,31.28478,114.80554,71.693054,25.296265,49.81009,154.45952,80.90033,27.193058,96.553055,96.06002,580.2125,741.85706,266.4771,267.38873,45.933056,91.832054,87.0021,88.896866,44.074512,128.20943,223.18571,80.7874,74.28989,154.1673,187.1215,114.34221
