Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.1542,331.9191,96.39988,190.9039,136.5427,201.73,437.19244,177.04015,218.35449,216.18365,250.05728,234.30225,44.602955,47.05815,207.38284,70.8247,227.5556,131.1677,348.73016,78.55016,26.420477,109.7366,196.3984,38.290157,121.7804,422.3216,20.110159,25.470722,39.681076,32.420155,15.578992,70.82387,52.510155,39.77237,54.20837,36.63379,65.64056,29.094389,73.1627,167.02055,138.89644,21.150158,111.200226,5.787158,16.927586,76.779465,47.430157,14.310674,5.097158,95.7173,947.35016,53.863766,59.60348,8.709157,51.357117,56.67017,14.145158,9.800158,561.0676,218.98055,82.46104,5.750158,215.86562,51.416847,109.371735,41.7224,527.07184,61.460155,21.573896,167.16203,31.291882,114.812645,71.70016,25.303366,49.81719,154.46669,80.90743,27.20016,96.56016,96.06712,580.2194,741.86395,266.48428,267.3959,45.940155,91.83916,87.0092,88.90397,44.08161,128.2166,223.19289,80.7945,74.29699,154.17447,187.12868,114.34931
2024-08-27,194.15436,331.91925,96.40004,190.90405,136.54285,201.73015,437.1926,177.0403,218.35464,216.1838,250.05743,234.3024,44.60311,47.058308,207.383,70.82486,227.55576,131.16785,348.73032,78.55032,26.420635,109.73676,196.39856,38.290314,121.78056,422.32175,20.110317,25.47088,39.681232,32.42031,15.579149,70.82403,52.51031,39.772526,54.208527,36.633945,65.64072,29.094547,73.16286,167.0207,138.89659,21.150316,111.200386,5.787316,16.927744,76.779625,47.430313,14.310831,5.097316,95.71746,947.35034,53.863922,59.603638,8.709314,51.357273,56.670326,14.145315,9.800315,561.0678,218.9807,82.4612,5.7503157,215.86577,51.417004,109.371895,41.722557,527.072,61.46031,21.574055,167.16219,31.29204,114.812805,71.70032,25.303524,49.817345,154.46684,80.90759,27.200317,96.56032,96.06728,580.2196,741.86414,266.48444,267.39606,45.94031,91.83932,87.00936,88.90413,44.081768,128.21675,223.19304,80.79466,74.29715,154.17462,187.12883,114.34947
2024-08-28,194.15451,331.9194,96.4002,190.9042,136.543,201.7303,437.19275,177.04045,218.3548,216.18396,250.05759,234.30255,44.603268,47.058464,207.38315,70.82502,227.55591,131.168,348.73047,78.55048,26.420794,109.73692,196.39871,38.29047,121.78072,422.3219,20.110476,25.471039,39.68139,32.420467,15.579307,70.82419,52.510468,39.772682,54.208683,36.6341,65.64088,29.094706,73.16302,167.02086,138.89674,21.150475,111.20055,5.7874737,16.927902,76.779785,47.43047,14.310988,5.0974736,95.71762,947.3505,53.86408,59.603794,8.709472,51.35743,56.670483,14.145473,9.800472,561.068,218.98085,82.46136,5.7504735,215.86592,51.41716,109.372055,41.722713,527.0722,61.46047,21.574213,167.16234,31.292198,114.812965,71.70048,25.303682,49.8175,154.467,80.90775,27.200476,96.56048,96.067444,580.2198,741.8643,266.4846,267.3962,45.940468,91.83948,87.00952,88.90429,44.081924,128.2169,223.19319,80.79482,74.29731,154.17477,187.12898,114.34963
2024-08-29,194.15466,331.91956,96.40036,190.90436,136.54315,201.73045,437.1929,177.0406,218.35495,216.18411,250.05774,234.3027,44.603424,47.05862,207.3833,70.82518,227.55606,131.16815,348.73062,78.550644,26.420952,109.73708,196.39886,38.290627,121.78088,422.32205,20.110634,25.471197,39.681545,32.420624,15.579464,70.82435,52.510624,39.77284,54.20884,36.63426,65.64104,29.094864,73.16318,167.02101,138.8969,21.150633,111.20071,5.7876315,16.92806,76.779945,47.430626,14.311146,5.0976315,95.71778,947.3507,53.864235,59.60395,8.709629,51.357586,56.67064,14.14563,9.80063,561.0682,218.981,82.46152,5.7506313,215.86607,51.417316,109.372215,41.72287,527.0724,61.460625,21.574371,167.16249,31.292356,114.813126,71.70064,25.30384,49.817657,154.46715,80.90791,27.200634,96.56064,96.067604,580.22,741.8645,266.48474,267.39636,45.940624,91.83964,87.00968,88.90445,44.08208,128.21706,223.19334,80.79498,74.29747,154.17493,187.12914,114.34979
2024-08-30,194.15482,331.9197,96.40052,190.90451,136.5433,201.7306,437.19305,177.04076,218.3551,216.18427,250.05789,234.30286,44.60358,47.058777,207.38345,70.82534,227.55621,131.1683,348.73077,78.550804,26.42111,109.73724,196.39902,38.290783,121.781044,422.3222,20.110792,25.471355,39.6817,32.42078,15.579621,70.82451,52.51078,39.772995,54.208996,36.634415,65.6412,29.095022,73.16334,167.02116,138.89705,21.150791,111.20087,5.7877893,16.928219,76.780106,47.430782,14.311303,5.0977893,95.71794,947.3509,53.86439,59.604107,8.709786,51.357742,56.670795,14.145787,9.800787,561.06836,218.98116,82.46168,5.750789,215.86623,51.417473,109.372375,41.723026,527.0726,61.46078,21.57453,167.16264,31.292515,114.813286,71.7008,25.303999,49.817814,154.4673,80.90807,27.200792,96.5608,96.067764,580.22015,741.8647,266.4849,267.3965,45.94078,91.8398,87.00984,88.90461,44.082237,128.21721,223.1935,80.79514,74.29763,154.17508,187.12929,114.34995
2024-08-31,194.15497,331.91986,96.40068,190.90466,136.54346,201.73076,437.1932,177.04091,218.35526,216.18442,250.05804,234.30301,44.603737,47.058933,207.3836,70.8255,227.55637,131.16846,348.73093,78.550964,26.421268,109.737404,196.39917,38.29094,121.781204,422.32236,20.11095,25.471514,39.681858,32.420937,15.579779,70.82467,52.510937,39.77315,54.209152,36.63457,65.64136,29.09518,73.1635,167.02132,138.8972,21.15095,111.20103,5.787947,16.928377,76.780266,47.43094,14.3114605,5.097947,95.7181,947.3511,53.864548,59.604263,8.709944,51.3579,56.67095,14.145945,9.800944,561.06854,218.98131,82.46184,5.750947,215.86638,51.41763,109.372536,41.723183,527.07275,61.460938,21.574688,167.1628,31.292673,114.813446,71.70096,25.304157,49.81797,154.46745,80.90823,27.20095,96.56096,96.067924,580.22034,741.86487,266.48505,267.39667,45.940937,91.83996,87.01,88.90477,44.082394,128.21736,223.19365,80.7953,74.29779,154.17523,187.12944,114.35011
2024-09-01,194.15512,331.92,96.40084,190.90482,136.54361,201.73091,437.19336,177.04106,218.35541,216.18457,250.0582,234.30316,44.603893,47.05909,207.38376,70.82566,227.55652,131.16861,348.73108,78.551125,26.421427,109.737564,196.39932,38.291096,121.781364,422.3225,20.111109,25.471672,39.682014,32.421093,15.579936,70.82483,52.511093,39.773308,54.20931,36.634727,65.64152,29.095339,73.16366,167.02147,138.89735,21.151108,111.20119,5.788105,16.928535,76.780426,47.431095,14.311618,5.098105,95.71826,947.35126,53.864704,59.60442,8.710101,51.358055,56.67111,14.146102,9.801102,561.0687,218.98146,82.462,5.751105,215.86653,51.417786,109.372696,41.72334,527.07294,61.461094,21.574846,167.16295,31.292831,114.81361,71.70112,25.304316,49.818127,154.4676,80.908394,27.201109,96.56112,96.068085,580.2205,741.86505,266.4852,267.39682,45.941093,91.84012,87.01016,88.90493,44.08255,128.21751,223.1938,80.79546,74.29795,154.17538,187.1296,114.35027
2024-09-02,194.15527,331.92017,96.401,190.90497,136.54376,201.73106,437.1935,177.04121,218.35556,216.18472,250.05835,234.30331,44.60405,47.059246,207.38391,70.82582,227.55667,131.16876,348.73123,78.551285,26.421585,109.737724,196.39948,38.291252,121.781525,422.32266,20.111267,25.47183,39.68217,32.42125,15.580093,70.82499,52.51125,39.773464,54.209465,36.634884,65.64168,29.095497,73.16382,167.02162,138.8975,21.151266,111.20135,5.788263,16.928694,76.78059,47.43125,14.311775,5.098263,95.71842,947.35144,53.86486,59.604576,8.7102585,51.35821,56.671265,14.146259,9.801259,561.0689,218.98161,82.46216,5.7512627,215.86668,51.417942,109.372856,41.723495,527.0731,61.46125,21.575005,167.1631,31.29299,114.81377,71.70128,25.304474,49.818283,154.46776,80.908554,27.201267,96.56128,96.068245,580.2207,741.86523,266.48535,267.39697,45.94125,91.84028,87.01032,88.90509,44.082706,128.21767,223.19395,80.79562,74.29811,154.17554,187.12975,114.35043
2024-09-03,194.15543,331.92032,96.40116,190.90512,136.54391,201.73122,437.19366,177.04137,218.35571,216.18488,250.0585,234.30347,44.604206,47.059402,207.38406,70.82598,227.55682,131.16891,348.73138,78.551445,26.421743,109.737885,196.39963,38.29141,121.781685,422.3228,20.111425,25.471989,39.682327,32.421406,15.580251,70.82515,52.511406,39.77362,54.20962,36.63504,65.64184,29.095655,73.16398,167.02177,138.89766,21.151424,111.20151,5.7884207,16.928852,76.78075,47.431408,14.311933,5.0984206,95.71858,947.3516,53.865017,59.604733,8.710416,51.358368,56.67142,14.146417,9.801416,561.0691,218.98177,82.46232,5.7514205,215.86684,51.4181,109.37302,41.72365,527.0733,61.461407,21.575163,167.16325,31.293148,114.81393,71.70144,25.304632,49.81844,154.46791,80.908714,27.201426,96.56144,96.068405,580.2209,741.8654,266.4855,267.39713,45.941406,91.84044,87.01048,88.90525,44.082863,128.21782,223.1941,80.795784,74.29827,154.17569,187.1299,114.35059
2024-09-04,194.15558,331.92047,96.40132,190.90527,136.54407,201.73137,437.19382,177.04152,218.35587,216.18503,250.05865,234.30362,44.604362,47.05956,207.38422,70.82614,227.55698,131.16907,348.73154,78.551605,26.421902,109.738045,196.39978,38.291565,121.781845,422.32297,20.111584,25.472147,39.682484,32.421562,15.580408,70.82531,52.511562,39.773777,54.209778,36.635197,65.642,29.095814,73.16414,167.02193,138.89781,21.151583,111.20167,5.7885785,16.92901,76.78091,47.431564,14.31209,5.0985785,95.71874,947.3518,53.865173,59.60489,8.710573,51.358524,56.671577,14.146574,9.801574,561.0693,218.98192,82.46248,5.7515783,215.86699,51.418255,109.37318,41.72381,527.0735,61.461563,21.575321,167.1634,31.293306,114.81409,71.7016,25.30479,49.818596,154.46806,80.908875,27.201584,96.5616,96.068565,580.22107,741.8656,266.48566,267.39728,45.941563,91.8406,87.01064,88.90541,44.08302,128.21797,223.19426,80.795944,74.29843,154.17584,187.13005,114.35075
2024-09-05,194.15573,331.92062,96.40148,190.90543,136.54422,201.73152,437.19397,177.04167,218.35602,216.18518,250.0588,234.30377,44.60452,47.059715,207.38437,70.8263,227.55713,131.16922,348.7317,78.551765,26.42206,109.738205,196.39993,38.29172,121.782005,422.32312,20.111742,25.472305,39.68264,32.42172,15.580565,70.82547,52.51172,39.773933,54.209934,36.635353,65.64216,29.095972,73.1643,167.02208,138.89796,21.151741,111.20183,5.7887363,16.929169,76.78107,47.43172,14.312247,5.0987363,95.7189,947.352,53.86533,59.605045,8.710731,51.35868,56.671734,14.146731,9.801731,561.06946,218.98207,82.46264,5.751736,215.86714,51.41841,109.37334,41.723965,527.07367,61.46172,21.57548,167.16356,31.293465,114.81425,71.70176,25.304949,49.818752,154.46822,80.909035,27.201742,96.56176,96.068726,580.22125,741.8658,266.4858,267.39743,45.94172,91.84076,87.0108,88.90557,44.083176,128.21812,223.19441,80.796104,74.29859,154.176,187.1302,114.350914
2024-09-06,194.15588,331.92078,96.40164,190.90558,136.54437,201.73167,437.19412,177.04182,218.35617,216.18533,250.05896,234.30392,44.604675,47.05987,207.38452,70.82646,227.55728,131.16937,348.73184,78.551926,26.422218,109.738365,196.40009,38.291878,121.782166,422.32327,20.1119,25.472464,39.682796,32.421875,15.580723,70.82563,52.511875,39.77409,54.21009,36.63551,65.64232,29.09613,73.16446,167.02223,138.89812,21.1519,111.20199,5.788894,16.929327,76.78123,47.431877,14.312405,5.098894,95.71906,947.3522,53.865486,59.6052,8.710888,51.358837,56.67189,14.146889,9.801888,561.06964,218.98222,82.4628,5.751894,215.8673,51.418568,109.3735,41.72412,527.07385,61.461876,21.575638,167.16371,31.293623,114.81441,71.70192,25.305107,49.81891,154.46837,80.909195,27.2019,96.56192,96.068886,580.22144,741.86597,266.48596,267.39758,45.941875,91.84092,87.01096,88.90573,44.083332,128.21828,223.19456,80.796265,74.29875,154.17615,187.13036,114.351074
2024-09-07,194.15604,331.92093,96.4018,190.90573,136.54453,201.73183,437.19427,177.04198,218.35632,216.18549,250.05911,234.30408,44.60483,47.060028,207.38467,70.82662,227.55743,131.16953,348.732,78.552086,26.422377,109.738525,196.40024,38.292034,121.782326,422.32343,20.112059,25.472622,39.682953,32.42203,15.58088,70.82579,52.51203,39.774246,54.210247,36.635666,65.64248,29.096289,73.16462,167.02238,138.89827,21.152058,111.20215,5.789052,16.929485,76.78139,47.432034,14.312562,5.099052,95.71922,947.35236,53.865643,59.60536,8.711045,51.358994,56.672047,14.147046,9.802046,561.0698,218.98238,82.46296,5.752052,215.86745,51.418724,109.37366,41.724277,527.07404,61.462032,21.575796,167.16386,31.293781,114.81457,71.70208,25.305265,49.819065,154.46852,80.909355,27.202059,96.56208,96.069046,580.2216,741.86615,266.4861,267.39774,45.94203,91.84108,87.01112,88.90589,44.08349,128.21843,223.19472,80.796425,74.29891,154.1763,187.13051,114.351234
2024-09-08,194.15619,331.92108,96.40196,190.90588,136.54468,201.73198,437.19443,177.04213,218.35648,216.18564,250.05927,234.30423,44.60499,47.060184,207.38483,70.82678,227.55759,131.16968,348.73215,78.552246,26.422535,109.738686,196.40039,38.29219,121.782486,422.32358,20.112217,25.47278,39.68311,32.422188,15.5810375,70.82595,52.512188,39.774403,54.210403,36.635822,65.64264,29.096447,73.16478,167.02254,138.89842,21.152216,111.20231,5.78921,16.929644,76.78155,47.43219,14.312719,5.09921,95.71938,947.35254,53.8658,59.605515,8.711203,51.35915,56.672203,14.147203,9.802203,561.07,218.98253,82.46312,5.7522097,215.8676,51.41888,109.37382,41.724434,527.0742,61.46219,21.575954,167.16402,31.29394,114.81473,71.70224,25.305424,49.81922,154.46867,80.909515,27.202217,96.56224,96.06921,580.2218,741.86633,266.48627,267.3979,45.94219,91.84124,87.011284,88.90605,44.083645,128.21858,223.19487,80.796585,74.29907,154.17645,187.13066,114.351395
2024-09-09,194.15634,331.92123,96.40212,190.90604,136.54483,201.73213,437.19458,177.04228,218.35663,216.18579,250.05942,234.30438,44.605145,47.06034,207.38498,70.82694,227.55774,131.16983,348.7323,78.55241,26.422693,109.738846,196.40054,38.292347,121.782646,422.32373,20.112375,25.472939,39.683266,32.422344,15.581195,70.82611,52.512344,39.77456,54.21056,36.63598,65.6428,29.096605,73.16494,167.02269,138.89857,21.152374,111.20247,5.7893677,16.929802,76.78171,47.432346,14.312877,5.0993676,95.71954,947.3527,53.865955,59.60567,8.71136,51.359306,56.67236,14.147361,9.802361,561.0702,218.98268,82.46328,5.7523675,215.86775,51.419037,109.37398,41.72459,527.0744,61.462345,21.576113,167.16417,31.294098,114.81489,71.7024,25.305582,49.819378,154.46883,80.909676,27.202375,96.5624,96.06937,580.222,741.8665,266.48642,267.39804,45.942345,91.8414,87.011444,88.90621,44.0838,128.21873,223.19502,80.796745,74.29923,154.1766,187.13081,114.351555
2024-09-10,194.1565,331.9214,96.40228,190.90619,136.54498,201.73228,437.19473,177.04243,218.35678,216.18594,250.05957,234.30453,44.6053,47.060497,207.38513,70.8271,227.55789,131.16998,348.73245,78.55257,26.422852,109.739006,196.4007,38.292503,121.78281,422.32388,20.112534,25.473097,39.683422,32.4225,15.581352,70.82627,52.5125,39.774715,54.210716,36.636135,65.64296,29.096764,73.1651,167.02284,138.89873,21.152533,111.20263,5.7895255,16.92996,76.78187,47.432503,14.313034,5.0995255,95.7197,947.3529,53.86611,59.605827,8.711517,51.359463,56.672516,14.147518,9.802518,561.0704,218.98283,82.46344,5.7525253,215.8679,51.419193,109.37414,41.724747,527.0746,61.4625,21.576271,167.16432,31.294256,114.81505,71.70256,25.30574,49.819534,154.46898,80.909836,27.202534,96.56256,96.06953,580.22217,741.8667,266.48657,267.3982,45.9425,91.84156,87.011604,88.90637,44.083958,128.21889,223.19518,80.796906,74.29939,154.17676,187.13097,114.351715
2024-09-11,194.15665,331.92154,96.40244,190.90634,136.54514,201.73244,437.1949,177.04259,218.35693,216.1861,250.05972,234.30469,44.605457,47.060654,207.38528,70.82726,227.55804,131.17014,348.7326,78.55273,26.42301,109.73917,196.40085,38.29266,121.78297,422.32404,20.112692,25.473255,39.68358,32.422657,15.58151,70.82643,52.512657,39.77487,54.210873,36.63629,65.64312,29.096922,73.16526,167.023,138.89888,21.15269,111.20279,5.7896833,16.930119,76.78203,47.43266,14.313191,5.0996833,95.719864,947.3531,53.86627,59.605984,8.711675,51.35962,56.672672,14.1476755,9.802675,561.07056,218.98299,82.4636,5.752683,215.86806,51.41935,109.3743,41.724903,527.07477,61.462658,21.57643,167.16447,31.294415,114.81521,71.70272,25.305899,49.81969,154.46913,80.909996,27.202692,96.56272,96.06969,580.22235,741.8669,266.48672,267.39835,45.942657,91.84172,87.011765,88.90653,44.084114,128.21904,223.19533,80.797066,74.29955,154.17691,187.13112,114.351875
