Date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,REET,ROL,ROST,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2024-08-26,194.13377,331.89865,96.37943,190.88347,136.52226,201.70956,437.172,177.01971,218.35434,216.1835,250.03685,234.3021,44.58251,47.03771,207.36241,70.80425,227.55545,131.14726,348.70972,78.52972,26.400034,109.716156,196.37798,38.269714,121.75996,422.30115,20.089716,25.45028,39.660633,32.39971,15.55855,70.80342,52.48971,39.751926,54.208214,36.613346,65.62011,29.073946,73.14225,167.00012,138.876,21.129715,111.17978,5.766715,16.907143,76.75902,47.43,14.290232,5.076715,95.69685,947.35,53.86361,59.603325,8.688715,51.336674,56.649727,14.124716,9.779716,561.0472,218.96011,82.44059,5.729715,215.84518,51.396404,109.35129,41.701958,527.0514,61.46,21.553453,167.1416,31.271439,114.812485,71.67971,25.282923,49.796745,154.44626,80.886986,27.2,96.53971,96.04668,580.199,741.8435,266.46384,267.37546,45.919712,91.81871,86.988754,88.88352,44.06117,128.19617,223.17245,80.774055,74.27654,154.15404,187.10825,114.328865
2024-08-27,194.13298,331.89786,96.37864,190.88268,136.52147,201.70877,437.1712,177.01892,218.35434,216.1835,250.03606,234.3021,44.58172,47.036915,207.36162,70.80346,227.55545,131.14647,348.70892,78.52892,26.399239,109.71536,196.37718,38.26892,121.75916,422.30035,20.08892,25.449484,39.65984,32.39892,15.5577545,70.80263,52.48892,39.751133,54.208214,36.612553,65.619316,29.07315,73.14146,166.99933,138.87521,21.12892,111.178986,5.7659197,16.906347,76.758224,47.43,14.289436,5.0759196,95.69606,947.35,53.86361,59.603325,8.68792,51.33588,56.648933,14.12392,9.77892,561.0464,218.95932,82.4398,5.7289195,215.84439,51.39561,109.350494,41.701164,527.0506,61.46,21.552658,167.14081,31.270643,114.812485,71.67892,25.282127,49.79595,154.44547,80.88619,27.2,96.53892,96.04588,580.1982,741.8427,266.46304,267.37466,45.91892,91.81792,86.98796,88.88273,44.060375,128.19537,223.17166,80.77326,74.27575,154.15324,187.10745,114.32807
2024-08-28,194.13377,331.89865,96.37943,190.88347,136.52226,201.70956,437.172,177.01971,218.35434,216.1835,250.03685,234.3021,44.58251,47.03771,207.36241,70.80425,227.55545,131.14726,348.70972,78.52972,26.400034,109.716156,196.37798,38.269714,121.75996,422.30115,20.089716,25.45028,39.660633,32.39971,15.55855,70.80342,52.48971,39.751926,54.208214,36.613346,65.62011,29.073946,73.14225,167.00012,138.876,21.129715,111.17978,5.7667146,16.907143,76.75902,47.43,14.290232,5.0767145,95.69685,947.35,53.86361,59.603325,8.688715,51.336674,56.649727,14.124716,9.779716,561.0472,218.96011,82.44059,5.7297144,215.84518,51.396404,109.35129,41.701958,527.0514,61.46,21.553453,167.1416,31.271439,114.812485,71.67971,25.282923,49.796745,154.44626,80.886986,27.2,96.53971,96.04668,580.199,741.8435,266.46384,267.37546,45.919712,91.81871,86.988754,88.88352,44.06117,128.19617,223.17245,80.774055,74.27654,154.15404,187.10825,114.328865
2024-08-29,194.13394,331.8988,96.3796,190.88364,136.52243,201.70973,437.17215,177.01988,218.35434,216.1835,250.03702,234.3021,44.582676,47.037872,207.36258,70.80442,227.55545,131.14743,348.70987,78.529884,26.400198,109.716324,196.37814,38.26988,121.760124,422.3013,20.08988,25.450443,39.660797,32.399876,15.558715,70.80359,52.489876,39.75209,54.208214,36.61351,65.62028,29.07411,73.14242,167.00029,138.87617,21.129879,111.17995,5.766715,16.907307,76.759186,47.43,14.290397,5.076715,95.69702,947.35,53.86361,59.603325,8.68888,51.336838,56.64989,14.124881,9.779881,561.04736,218.96028,82.44076,5.729715,215.84535,51.39657,109.351456,41.70212,527.0516,61.46,21.553617,167.14177,31.271603,114.812485,71.67988,25.283087,49.79691,154.44643,80.88715,27.2,96.53988,96.046844,580.19916,741.8437,266.464,267.3756,45.919876,91.81888,86.98892,88.88369,44.061333,128.19633,223.17262,80.77422,74.27671,154.1542,187.10841,114.32903
2024-08-30,194.13377,331.89865,96.37944,190.88347,136.52226,201.70956,437.172,177.01971,218.35434,216.1835,250.03685,234.3021,44.582516,47.037712,207.36241,70.80426,227.55545,131.14726,348.70972,78.529724,26.40004,109.71616,196.37798,38.26972,121.759964,422.30115,20.089722,25.450285,39.660637,32.399715,15.558556,70.80343,52.489716,39.75193,54.208214,36.61335,65.62012,29.073952,73.14226,167.00012,138.876,21.12972,111.17979,5.7667146,16.907148,76.759026,47.43,14.290237,5.0767145,95.69686,947.35,53.86361,59.603325,8.688721,51.336678,56.64973,14.124722,9.779721,561.0472,218.96011,82.4406,5.7297144,215.84518,51.396408,109.351295,41.70196,527.0514,61.46,21.55346,167.1416,31.271444,114.812485,71.67972,25.282928,49.79675,154.44626,80.88699,27.2,96.53972,96.046684,580.199,741.8435,266.46384,267.37546,45.919716,91.81872,86.98876,88.88353,44.061172,128.19617,223.17245,80.77406,74.27655,154.15404,187.10825,114.32887
2024-08-31,194.13376,331.89862,96.37943,190.88345,136.52225,201.70955,437.17197,177.0197,218.35434,216.1835,250.03683,234.3021,44.58251,47.03771,207.3624,70.80425,227.55545,131.14725,348.7097,78.52972,26.400034,109.716156,196.37796,38.269714,121.75996,422.30112,20.089716,25.45028,39.660633,32.39971,15.558551,70.80342,52.48971,39.751926,54.208214,36.613346,65.62011,29.073946,73.14225,167.0001,138.87599,21.129715,111.17978,5.7667146,16.907143,76.75902,47.43,14.290233,5.0767145,95.69685,947.35,53.86361,59.603325,8.688716,51.336674,56.649727,14.124717,9.7797165,561.0472,218.9601,82.44059,5.7297144,215.84517,51.396404,109.35129,41.701958,527.0514,61.46,21.553453,167.14159,31.271439,114.812485,71.67971,25.282923,49.796745,154.44624,80.886986,27.2,96.53971,96.04668,580.199,741.8435,266.4638,267.37543,45.919712,91.81871,86.988754,88.88352,44.06117,128.19615,223.17244,80.774055,74.27654,154.15402,187.10823,114.328865
2024-09-01,194.13377,331.89865,96.37944,190.88347,136.52226,201.70956,437.172,177.01971,218.35434,216.1835,250.03685,234.3021,44.582516,47.037712,207.36241,70.80426,227.55545,131.14726,348.70972,78.529724,26.40004,109.71616,196.37798,38.26972,121.759964,422.30115,20.089722,25.450285,39.660637,32.399715,15.558556,70.80343,52.489716,39.75193,54.208214,36.61335,65.62012,29.073952,73.14226,167.00012,138.876,21.12972,111.17979,5.7667146,16.907148,76.759026,47.43,14.290237,5.0767145,95.69686,947.35,53.86361,59.603325,8.688721,51.336678,56.64973,14.124722,9.779721,561.0471,218.96011,82.4406,5.7297144,215.84518,51.396408,109.351295,41.70196,527.0514,61.46,21.55346,167.1416,31.271444,114.812485,71.67972,25.282928,49.79675,154.44626,80.88699,27.2,96.53972,96.046684,580.199,741.8435,266.46384,267.37546,45.919716,91.81872,86.98876,88.88353,44.061172,128.19617,223.17245,80.77406,74.27655,154.15404,187.10825,114.32887
2024-09-02,194.13377,331.89865,96.37944,190.88347,136.52226,201.70956,437.172,177.01971,218.35434,216.1835,250.03685,234.3021,44.582516,47.037712,207.36241,70.80426,227.55545,131.14726,348.70972,78.529724,26.400042,109.71616,196.37798,38.26972,121.759964,422.30115,20.089724,25.450287,39.660637,32.399715,15.558557,70.80343,52.489716,39.75193,54.208214,36.61335,65.62012,29.073954,73.14226,167.00012,138.876,21.129723,111.17979,5.7464294,16.90715,76.759026,47.43,14.290238,5.0564294,95.69686,947.35,53.86361,59.603325,8.688722,51.336678,56.64973,14.1247225,9.779722,561.0471,218.96011,82.4406,5.7297144,215.84518,51.396408,109.351295,41.70196,527.0311,61.46,21.553461,167.1416,31.271446,114.812485,71.67972,25.28293,49.79675,154.44626,80.88699,27.2,96.53972,96.046684,580.1787,741.82324,266.46384,267.37546,45.919716,91.81872,86.98876,88.88353,44.061172,128.19617,223.17245,80.77406,74.27655,154.15404,187.10825,114.32887
2024-09-03,194.13377,331.89865,96.37944,190.88347,136.52226,201.70956,437.172,177.01971,218.35434,216.1835,250.03685,234.3021,44.582516,47.037712,207.36241,70.80426,227.55545,131.14726,348.70972,78.529724,26.400042,109.71616,196.37798,38.26972,121.759964,422.30115,20.089724,25.450287,39.660637,32.399715,15.558556,70.80343,52.489716,39.75193,54.208214,36.61335,65.62012,29.073954,73.14226,167.00012,138.876,21.129723,111.17979,5.745634,16.90715,76.759026,47.43,14.290237,5.055634,95.69686,947.35,53.86361,59.603325,8.688721,51.336678,56.64973,14.124722,9.779721,561.0471,218.96011,82.4406,5.7297144,215.84518,51.396408,109.351295,41.70196,527.03033,61.46,21.553461,167.1416,31.271446,114.812485,71.67972,25.28293,49.79675,154.44626,80.88699,27.2,96.53972,96.046684,580.1779,741.82245,266.46384,267.37546,45.919716,91.81872,86.98876,88.88353,44.061172,128.19617,223.17245,80.77406,74.27655,154.15404,187.10825,114.32887
2024-09-04,194.1135,331.87836,96.37944,190.86319,136.50198,201.70956,437.1517,176.99944,218.35434,216.1835,250.01657,234.3021,44.56223,47.037712,207.34213,70.78397,227.55545,131.12698,348.68942,78.50944,26.400042,109.69588,196.3577,38.24943,121.759964,422.28085,20.089724,25.450287,39.64035,32.37943,15.558556,70.78314,52.46943,39.731644,54.208214,36.593063,65.59983,29.073954,73.12197,166.97984,138.85573,21.129723,111.1595,5.746429,16.90715,76.73874,47.43,14.290237,5.056429,95.676575,947.35,53.86361,59.603325,8.688721,51.336678,56.629444,14.124722,9.779721,561.02686,218.96011,82.42031,5.7297144,215.84518,51.37612,109.33101,41.681675,527.0311,61.46,21.553461,167.12132,31.271446,114.812485,71.65943,25.28293,49.776463,154.42598,80.86671,27.2,96.53972,96.0264,580.1787,741.82324,266.44354,267.35516,45.919716,91.79843,86.968475,88.88353,44.040886,128.17589,223.17245,80.75378,74.25626,154.13376,187.10825,114.32887
